"Disease","ICD10code","ICD10codeDescr"
"Non-Hodgkin Lymphoma","B21.1","HIV disease resulting in Burkitt lymphoma"
"Non-Hodgkin Lymphoma","B21.2","HIV disease resulting in other types of non-Hodgkin lymphoma"
"Non-Hodgkin Lymphoma","C83.3","Diffuse large B-cell lymphoma"
"Non-Hodgkin Lymphoma","C85.9","Non-Hodgkin lymphoma, unspecified"
"Non-Hodgkin Lymphoma","C83.7","Burkitt lymphoma"
"Non-Hodgkin Lymphoma","C82.9","Follicular lymphoma, unspecified"
"Non-Hodgkin Lymphoma","C84.0","Mycosis fungoides"
"Non-Hodgkin Lymphoma","C84.1","Sézary disease"
"Non-Hodgkin Lymphoma","C82.0","Follicular lymphoma grade I"
"Non-Hodgkin Lymphoma","C82.2","Follicular lymphoma grade III, unspecified"
"Non-Hodgkin Lymphoma","C83.0","Small cell B-cell lymphoma"
"Non-Hodgkin Lymphoma","C83.1","Mantle cell lymphoma"
"Non-Hodgkin Lymphoma","C83.5","Lymphoblastic (diffuse) lymphoma"
"Non-Hodgkin Lymphoma","C88.4","Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]"
"Non-Hodgkin Lymphoma","C82.7","Other types of follicular lymphoma"
"Non-Hodgkin Lymphoma","C85.2","Mediastinal (thymic) large B-cell lymphoma"
"Non-Hodgkin Lymphoma","C85.1","B-cell lymphoma, unspecified"
"Non-Hodgkin Lymphoma","C83.9","Non-follicular (diffuse) lymphoma, unspecified"
"Non-Hodgkin Lymphoma","C82.1","Follicular lymphoma grade II"
"Non-Hodgkin Lymphoma","C82.3","Follicular lymphoma grade IIIa"
"Non-Hodgkin Lymphoma","C82.4","Follicular lymphoma grade IIIb"
"Non-Hodgkin Lymphoma","C82.5","Diffuse follicle centre lymphoma"
"Non-Hodgkin Lymphoma","C82.6","Cutaneous follicle centre lymphoma"
"Non-Hodgkin Lymphoma","C84.6","Anaplastic large cell lymphoma, ALK-positive"
"Non-Hodgkin Lymphoma","C84.7","Anaplastic large cell lymphoma, ALK-negative"
"Non-Hodgkin Lymphoma","C84.8","Cutaneous T-cell lymphoma, unspecified"
"Non-Hodgkin Lymphoma","C86.0","Extranodal NK/T-cell lymphoma, nasal type"
"Non-Hodgkin Lymphoma","C86.1","Hepatosplenic T-cell lymphoma"
"Non-Hodgkin Lymphoma","C86.2","Enteropathy-type (intestinal) T-cell lymphoma"
"Non-Hodgkin Lymphoma","C86.3","Subcutaneous panniculitis-like T-cell lymphoma"
"Non-Hodgkin Lymphoma","C86.4","Blastic NK-cell lymphoma"
"Non-Hodgkin Lymphoma","C86.5","Angioimmunoblastic T-cell lymphoma"
"Non-Hodgkin Lymphoma","C86.6","Primary cutaneous CD30-positive T-cell proliferations"
"Non-Hodgkin Lymphoma","C84.5","Other mature T/NK-cell lymphomas"
"Non-Hodgkin Lymphoma","C84.4","Peripheral T-cell lymphoma, not elsewhere classified"
"Non-Hodgkin Lymphoma","C88.3","Immunoproliferative small intestinal disease"
"Non-Hodgkin Lymphoma","C96.9","Malignant neoplasm of lymphoid, haematopoietic and related tissue, unspecified"
"Non-Hodgkin Lymphoma","C83.8","Other non-follicular lymphoma"
"Non-Hodgkin Lymphoma","C85.7","Other specified types of non-Hodgkin lymphoma"
