"Disease","ICD10code","ICD10codeDescr"
"Female infertility","N46","Male infertility"
"Female infertility","N97.9","Female infertility, unspecified"
"Female infertility","N97.0","Female infertility associated with anovulation"
"Female infertility","E23.0","Hypopituitarism"
"Female infertility","N97.1","Female infertility of tubal origin"
"Female infertility","N97.2","Female infertility of uterine origin"
"Female infertility","N97.3","Female infertility of cervical origin"
"Female infertility","N97.8","Female infertility of other origin"
"Female infertility","N97.4","Female infertility associated with male factors"
"Female infertility","Z35.0","Supervision of pregnancy with history of infertility"
"Female infertility","Z31","Procreative management"
"Female infertility","Z31.8","Other procreative management"
"Female infertility","Z31.9","Procreative management, unspecified"
