"Disease","ICD10code","ICD10codeDescr"
"Infection of bones and joints","B90.2","Sequelae of tuberculosis of bones and joints"
"Infection of bones and joints","H05.0","Acute inflammation of orbit"
"Infection of bones and joints","K10.2","Inflammatory conditions of jaws"
"Infection of bones and joints","M00.9","Pyogenic arthritis, unspecified"
"Infection of bones and joints","M46.3","Infection of intervertebral disc (pyogenic)"
"Infection of bones and joints","M86.1","Other acute osteomyelitis"
"Infection of bones and joints","M46.2","Osteomyelitis of vertebra"
"Infection of bones and joints","M86.0","Acute haematogenous osteomyelitis"
"Infection of bones and joints","M86.6","Other chronic osteomyelitis"
"Infection of bones and joints","M86.3","Chronic multifocal osteomyelitis"
"Infection of bones and joints","M86.4","Chronic osteomyelitis with draining sinus"
"Infection of bones and joints","M86.9","Osteomyelitis, unspecified"
"Infection of bones and joints","M86.2","Subacute osteomyelitis"
"Infection of bones and joints","M86.5","Other chronic haematogenous osteomyelitis"
"Infection of bones and joints","M86.8","Other osteomyelitis"
"Infection of bones and joints","T84.7","Infection and inflammatory reaction due to other internal orthopaedic prosthetic devices, implants and grafts"
