"Disease","ICD10code","ICD10codeDescr"
"Intervertebral disc disorders","M50.2","Other cervical disc displacement"
"Intervertebral disc disorders","M51.2","Other specified intervertebral disc displacement"
"Intervertebral disc disorders","M51.4","Schmorl nodes"
"Intervertebral disc disorders","M50.3","Other cervical disc degeneration"
"Intervertebral disc disorders","M51.3","Other specified intervertebral disc degeneration"
"Intervertebral disc disorders","M51.9","Intervertebral disc disorder, unspecified"
"Intervertebral disc disorders","M50.8","Other cervical disc disorders"
"Intervertebral disc disorders","M51.8","Other specified intervertebral disc disorders"
"Intervertebral disc disorders","M50.1","Cervical disc disorder with radiculopathy"
"Intervertebral disc disorders","M99.5","Intervertebral disc stenosis of neural canal"
"Intervertebral disc disorders","M50.9","Cervical disc disorder, unspecified"
