"Disease","ICD10code","ICD10codeDescr"
"Primary malignancy colorectal and anus","C18.3","Malignant neoplasm: Hepatic flexure"
"Primary malignancy colorectal and anus","C18.4","Malignant neoplasm: Transverse colon"
"Primary malignancy colorectal and anus","C18.6","Malignant neoplasm: Descending colon"
"Primary malignancy colorectal and anus","C18.7","Malignant neoplasm: Sigmoid colon"
"Primary malignancy colorectal and anus","C18.0","Malignant neoplasm: Caecum"
"Primary malignancy colorectal and anus","C18.1","Malignant neoplasm: Appendix"
"Primary malignancy colorectal and anus","C18.2","Malignant neoplasm: Ascending colon"
"Primary malignancy colorectal and anus","C18.5","Malignant neoplasm: Splenic flexure"
"Primary malignancy colorectal and anus","C18.8","Malignant neoplasm: Overlapping lesion of colon"
"Primary malignancy colorectal and anus","C18.9","Malignant neoplasm: Colon, unspecified"
"Primary malignancy colorectal and anus","C19","Malignant neoplasm of rectosigmoid junction"
"Primary malignancy colorectal and anus","C20","Malignant neoplasm of rectum"
"Primary malignancy colorectal and anus","C21.1","Malignant neoplasm: Anal canal"
"Primary malignancy colorectal and anus","C21.2","Malignant neoplasm: Cloacogenic zone"
"Primary malignancy colorectal and anus","C21.0","Malignant neoplasm: Anus, unspecified"
"Primary malignancy colorectal and anus","C48.1","Malignant neoplasm: Specified parts of peritoneum"
"Primary malignancy colorectal and anus","C26.0","Malignant neoplasm: Intestinal tract, part unspecified"
"Primary malignancy colorectal and anus","D01.0","Carcinoma in situ: Colon"
"Primary malignancy colorectal and anus","D01.4","Carcinoma in situ: Other and unspecified parts of intestine"
"Primary malignancy colorectal and anus","D01.2","Carcinoma in situ: Rectum"
"Primary malignancy colorectal and anus","D37.4","Neoplasm of uncertain or unknown behaviour: Colon"
"Primary malignancy colorectal and anus","Z85.0","Personal history of malignant neoplasm of digestive organs"
