"Disease","ICD10code","ICD10codeDescr"
"Urticaria","L56.3","Solar urticaria"
"Urticaria","L50","Urticaria"
"Urticaria","L50.0","Allergic urticaria"
"Urticaria","L50.1","Idiopathic urticaria"
"Urticaria","L50.2","Urticaria due to cold and heat"
"Urticaria","L50.3","Dermatographic urticaria"
"Urticaria","L50.4","Vibratory urticaria"
"Urticaria","L50.5","Cholinergic urticaria"
"Urticaria","L50.6","Contact urticaria"
"Urticaria","L50.8","Other urticaria"
"Urticaria","L50.9","Urticaria, unspecified"
"Urticaria","Q82.2","Mastocytosis"
