"Disease","ICD10code","ICD10codeDescr"
"Peripheral venous and lymphatic disease","I89.8","Other specified noninfective disorders of lymphatic vessels and lymph nodes"
"Peripheral venous and lymphatic disease","I83","Varicose veins of lower extremities"
"Peripheral venous and lymphatic disease","I83.0","Varicose veins of lower extremities with ulcer"
"Peripheral venous and lymphatic disease","I83.1","Varicose veins of lower extremities with inflammation"
"Peripheral venous and lymphatic disease","I83.2","Varicose veins of lower extremities with both ulcer and inflammation"
"Peripheral venous and lymphatic disease","I83.9","Varicose veins of lower extremities without ulcer or inflammation"
"Peripheral venous and lymphatic disease","L97","Ulcer of lower limb, not elsewhere classified"
"Peripheral venous and lymphatic disease","I86","Varicose veins of other sites"
"Peripheral venous and lymphatic disease","I86.8","Varicose veins of other specified sites"
"Peripheral venous and lymphatic disease","I97.2","Postmastectomy lymphoedema syndrome"
"Peripheral venous and lymphatic disease","I89.0","Lymphoedema, not elsewhere classified"
"Peripheral venous and lymphatic disease","I89.1","Lymphangitis"
"Peripheral venous and lymphatic disease","I89.9","Noninfective disorder of lymphatic vessels and lymph nodes, unspecified"
"Peripheral venous and lymphatic disease","I87.9","Disorder of vein, unspecified"
"Peripheral venous and lymphatic disease","I87.0","Postthrombotic syndrome"
"Peripheral venous and lymphatic disease","I87.1","Compression of vein"
"Peripheral venous and lymphatic disease","I87.8","Other specified disorders of veins"
"Peripheral venous and lymphatic disease","I87.2","Venous insufficiency (chronic)(peripheral)"
"Peripheral venous and lymphatic disease","O22.9","Venous complication in pregnancy, unspecified"
"Peripheral venous and lymphatic disease","O87.8","Other venous complications in the puerperium"
"Peripheral venous and lymphatic disease","L85.8","Other specified epidermal thickening"
"Peripheral venous and lymphatic disease","Q82.0","Hereditary lymphoedema"
"Peripheral venous and lymphatic disease","Q79.8","Other congenital malformations of musculoskeletal system"
