Disease,ICD10code,ICD10codeDescr
Bipolar affective disorder and mania,F30,Manic episode
Bipolar affective disorder and mania,F31,Bipolar affective disorder
Bipolar affective disorder and mania,F25.0,"Schizoaffective disorder, manic type"
Bipolar affective disorder and mania,F30.0,Hypomania
Bipolar affective disorder and mania,F30.1,Mania without psychotic symptoms
Bipolar affective disorder and mania,F30.2,Mania with psychotic symptoms
Bipolar affective disorder and mania,F30.8,Other manic episodes
Bipolar affective disorder and mania,F30.9,"Manic episode, unspecified"
Bipolar affective disorder and mania,F31.0,"Bipolar affective disorder, current episode hypomanic"
Bipolar affective disorder and mania,F31.6,"Bipolar affective disorder, current episode mixed"
Bipolar affective disorder and mania,F31.7,"Bipolar affective disorder, currently in remission"
Bipolar affective disorder and mania,F31.9,"Bipolar affective disorder, unspecified"
Bipolar affective disorder and mania,F31.8,Other bipolar affective disorders
