Disease,ICD10code,ICD10codeDescr
Post-traumatic stress and stress-related disorders,F43,"Reaction to severe stress, and adjustment disorders"
Post-traumatic stress and stress-related disorders,F43.0,Acute stress reaction
Post-traumatic stress and stress-related disorders,F43.1,Post-traumatic stress disorder
Post-traumatic stress and stress-related disorders,F43.2,Adjustment disorders
Post-traumatic stress and stress-related disorders,F43.8,Other reactions to severe stress
Post-traumatic stress and stress-related disorders,F43.9,"Reaction to severe stress, unspecified"
Post-traumatic stress and stress-related disorders,N39.3,Stress incontinence
Post-traumatic stress and stress-related disorders,R45.7,"State of emotional shock and stress, unspecified"
Post-traumatic stress and stress-related disorders,R46.6,Undue concern and preoccupation with stressful events
Post-traumatic stress and stress-related disorders,Z56.3,Stressful work schedule
Post-traumatic stress and stress-related disorders,Z63.7,Other stressful life events affecting family and household
Post-traumatic stress and stress-related disorders,Z73.3,"Stress, not elsewhere classified"
