Disease,ICD10code,ICD10codeDescr
Transient ischaemic attack,G45.0,Vertebro-basilar artery syndrome
Transient ischaemic attack,G45.1,Carotid artery syndrome (hemispheric)
Transient ischaemic attack,G45.2,Multiple and bilateral precerebral artery syndromes
Transient ischaemic attack,G45.3,Amaurosis fugax
Transient ischaemic attack,G45.4,Transient global amnesia
Transient ischaemic attack,G45.8,Other transient cerebral ischaemic attacks and related syndromes
Transient ischaemic attack,G45.9,Transient cerebral ischaemic attack, unspecified
Transient ischaemic attack,G46.0,Middle cerebral artery syndrome
Transient ischaemic attack,G46.1,Anterior cerebral artery syndrome
Transient ischaemic attack,G46.2,Posterior cerebral artery syndrome
Transient ischaemic attack,I65,Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction
Transient ischaemic attack,I66,Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction
