Disease,ICD10code,ICD10codeDescr
Diabetes,E10,Insulin-dependent diabetes mellitus
Diabetes,E11,Non-insulin-dependent diabetes mellitus
Diabetes,E12,Malnutrition-related diabetes mellitus
Diabetes,O242,Diabetes mellitus in pregnancy: Pre-existing malnutrition-related diabetes mellitus
Diabetes,E13,Other specified diabetes mellitus
Diabetes,E14,Unspecified diabetes mellitus
Diabetes,G590,Diabetic mononeuropathy
Diabetes,G632,Diabetic polyneuropathy
Diabetes,H280,Diabetic cataract
Diabetes,H360,Diabetic retinopathy
Diabetes,M142,Diabetic arthropathy
Diabetes,N083,Glomerular disorders in diabetes mellitus
Diabetes,O240,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus
Diabetes,O241,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus
Diabetes,O243,Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus
Diabetes,E10.9,Type 1 diabetes mellitus without complications
Diabetes,E11.9,Type 2 diabetes mellitus without complications
Diabetes,E14.9,Unspecified diabetes mellitus without complications
Diabetes,E14.1,Unspecified diabetes mellitus with ketoacidosis
Diabetes,E10.1,Type 1 diabetes mellitus with ketoacidosis
Diabetes,E11.1,Type 2 diabetes mellitus with ketoacidosis
Diabetes,E13.1,Other specified diabetes mellitus with ketoacidosis
Diabetes,E14.0,Unspecified diabetes mellitus with coma
Diabetes,E10.0,Type 1 diabetes mellitus with coma
Diabetes,E11.0,Type 2 diabetes mellitus with coma
Diabetes,E13.0,Other specified diabetes mellitus with coma
Diabetes,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Diabetes,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Diabetes,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Diabetes,E10.7,Type 1 diabetes mellitus with multiple complications
Diabetes,E14.7,Unspecified diabetes mellitus with multiple complications
Diabetes,E11.3,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,E11.7,Type 2 diabetes mellitus with multiple complications
Diabetes,E12.0,Malnutrition-related diabetes mellitus with coma
Diabetes,E12.1,Malnutrition-related diabetes mellitus with ketoacidosis
Diabetes,E13.9,Other specified diabetes mellitus without complications
Diabetes,E14.6,Unspecified diabetes mellitus with other specified complications
Diabetes,E14.8,Unspecified diabetes mellitus with unspecified complications
Diabetes,E14.2,Unspecified diabetes mellitus with renal complications
Diabetes,P70.2,Neonatal diabetes mellitus
Diabetic eye disease,E10.3,Insulin-dependent diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E11.3,Non-insulin-dependent diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E12.3,Malnutrition-related diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E13.3,Other specified diabetes mellitus - With ophthalmic complications
Diabetic eye disease,E14.3,Unspecified diabetes mellitus - With ophthalmic complications
Diabetic eye disease,H28.0,Diabetic cataract
Diabetic eye disease,H36.0,Diabetic retinopathy
Diabetic eye disease,E11.3,Type 2 diabetes mellitus with ophthalmic complications
Diabetic eye disease,E10.4,Insulin-dependent diabetes mellitus - With neurological complications
Diabetic eye disease,E11.4,Non-insulin-dependent diabetes mellitus - With neurological complications
Diabetic eye disease,E12.4,Malnutrition-related diabetes mellitus - With neurological complications
Diabetic eye disease,E13.4,Other specified diabetes mellitus - With neurological complications
Diabetic eye disease,E14.4,Unspecified diabetes mellitus - With neurological complications
Diabetic eye disease,G59.0,Diabetic mononeuropathy
Diabetic eye disease,G63.2,Diabetic polyneuropathy
Diabetic eye disease,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Diabetic eye disease,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Diabetic eye disease,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E10.4,Insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E11.4,Non-insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E12.4,Malnutrition-related diabetes mellitus - With neurological complications
Diabetic neurological complications,E13.4,Other specified diabetes mellitus - With neurological complications
Diabetic neurological complications,E14.4,Unspecified diabetes mellitus - With neurological complications
Diabetic neurological complications,G59.0,Diabetic mononeuropathy
Diabetic neurological complications,G63.2,Diabetic polyneuropathy
Diabetic neurological complications,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Diabetic neurological complications,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
