Disease,ICD10code,ICD10codeDescr
Enthesopathies & synovial disorders,M46.0,Spinal enthesopathy
Enthesopathies & synovial disorders,M65.2,Calcific tendinitis
Enthesopathies & synovial disorders,M65.3,Trigger finger
Enthesopathies & synovial disorders,M65.4,Radial styloid tenosynovitis [de Quervain]
Enthesopathies & synovial disorders,M65.8,Other synovitis and tenosynovitis
Enthesopathies & synovial disorders,M65.9,Synovitis and tenosynovitis, unspecified
Enthesopathies & synovial disorders,M66,Spontaneous rupture of synovium and tendon
Enthesopathies & synovial disorders,M70,Soft tissue disorders related to use, overuse and pressure
Enthesopathies & synovial disorders,M71.2,Synovial cyst of popliteal space [Baker]
Enthesopathies & synovial disorders,M71.3,Other bursal cyst
Enthesopathies & synovial disorders,M71.4,Calcium deposit in bursa
Enthesopathies & synovial disorders,M71.5,Other bursitis, not elsewhere classified
Enthesopathies & synovial disorders,M71.8,Other specified bursopathies
Enthesopathies & synovial disorders,M71.9,Bursopathy, unspecified
Enthesopathies & synovial disorders,M75,Shoulder lesions
Enthesopathies & synovial disorders,M76,Enthesopathies of lower limb, excluding foot
Enthesopathies & synovial disorders,M77.0,Medial epicondylitis
Enthesopathies & synovial disorders,M77.1,Lateral epicondylitis
Enthesopathies & synovial disorders,M77.2,Periarthritis of wrist
Enthesopathies & synovial disorders,M77.3,Calcaneal spur
Enthesopathies & synovial disorders,M77.5,Other enthesopathy of foot
Enthesopathies & synovial disorders,M77.8,Other enthesopathies, not elsewhere classified
Enthesopathies & synovial disorders,M77.9,Enthesopathy, unspecified
