Disease,ICD10code,ICD10codeDescr
Pancreatitis,K85,Acute pancreatitis
Pancreatitis,K86.0,Alcohol-induced chronic pancreatitis
Pancreatitis,K86.1,Other chronic pancreatitis
Pancreatitis,K86.3,Pseudocyst of pancreas
Pancreatitis,K85.9,"Acute pancreatitis, unspecified"
Pancreatitis,K85.8,Other acute pancreatitis
Pancreatitis,K85.1,Biliary acute pancreatitis
Pancreatitis,K85.0,Idiopathic acute pancreatitis
Pancreatitis,K85.2,Alcohol-induced acute pancreatitis
Pancreatitis,K85.3,Drug-induced acute pancreatitis
