Disease,ICD10code,ICD10codeDescr
Peripheral arterial disease,I731,Thromboangiitis obliterans [Buerger]
Peripheral arterial disease,I738,Other specified peripheral vascular diseases
Peripheral arterial disease,I739,Peripheral vascular disease
Peripheral arterial disease,I743,Embolism and thrombosis of arteries of lower extremities
Peripheral arterial disease,I744,Embolism and thrombosis of arteries of extremities
Peripheral arterial disease,I745,Embolism and thrombosis of iliac artery
Peripheral arterial disease,A48.0,Gas gangrene
Peripheral arterial disease,E14.5,Unspecified diabetes mellitus with peripheral circulatory complications
Peripheral arterial disease,E11.5,Type 2 diabetes mellitus with peripheral circulatory complications
Peripheral arterial disease,E10.5,Type 1 diabetes mellitus with peripheral circulatory complications
Peripheral arterial disease,I70.0,Atherosclerosis of aorta
Peripheral arterial disease,I70.2,Atherosclerosis of arteries of extremities
Peripheral arterial disease,I73,Other peripheral vascular diseases
Peripheral arterial disease,I73.1,Thromboangiitis obliterans [Buerger]
Peripheral arterial disease,R02,"Gangrene, not elsewhere classified"
Peripheral arterial disease,I73.9,"Peripheral vascular disease, unspecified"
Peripheral arterial disease,I73.8,Other specified peripheral vascular diseases
Peripheral arterial disease,I74.3,Embolism and thrombosis of arteries of lower extremities
Peripheral arterial disease,I74.4,"Embolism and thrombosis of arteries of extremities, unspecified"
Peripheral arterial disease,I74.5,Embolism and thrombosis of iliac artery
