Disease,ICD10code,ICD10codeDescr
Primary malignancy bone and articular cartilage,C40,Malignant neoplasm of bone and articular cartilage of limbs
Primary malignancy bone and articular cartilage,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
Primary malignancy bone and articular cartilage,C41.0,Malignant neoplasm: Bones of skull and face
Primary malignancy bone and articular cartilage,C41.1,Malignant neoplasm: Mandible
Primary malignancy bone and articular cartilage,C41.2,Malignant neoplasm: Vertebral column
Primary malignancy bone and articular cartilage,C41.3,"Malignant neoplasm: Ribs, sternum and clavicle"
Primary malignancy bone and articular cartilage,C41.8,Malignant neoplasm: Overlapping lesion of bone and articular cartilage
Primary malignancy bone and articular cartilage,C40.0,Malignant neoplasm: Scapula and long bones of upper limb
Primary malignancy bone and articular cartilage,C40.9,"Malignant neoplasm: Bone and articular cartilage of limb, unspecified"
Primary malignancy bone and articular cartilage,C40.1,Malignant neoplasm: Short bones of upper limb
Primary malignancy bone and articular cartilage,C41.4,"Malignant neoplasm: Pelvic bones, sacrum and coccyx"
Primary malignancy bone and articular cartilage,C40.2,Malignant neoplasm: Long bones of lower limb
Primary malignancy bone and articular cartilage,C40.3,Malignant neoplasm: Short bones of lower limb
Primary malignancy bone and articular cartilage,C41.9,"Malignant neoplasm: Bone and articular cartilage, unspecified"
Primary malignancy bone and articular cartilage,D48.0,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage
