Disease,ICD10code,ICD10codeDescr
Primary malignancy malignant melanoma,C43,Malignant melanoma of skin
Primary malignancy malignant melanoma,C43.9,"Malignant neoplasm: Malignant melanoma of skin, unspecified"
Primary malignancy malignant melanoma,C43.0,Malignant neoplasm: Malignant melanoma of lip
Primary malignancy malignant melanoma,C43.1,"Malignant neoplasm: Malignant melanoma of eyelid, including canthus"
Primary malignancy malignant melanoma,C43.2,Malignant neoplasm: Malignant melanoma of ear and external auricular canal
Primary malignancy malignant melanoma,C43.3,Malignant neoplasm: Malignant melanoma of other and unspecified parts of face
Primary malignancy malignant melanoma,C43.4,Malignant neoplasm: Malignant melanoma of scalp and neck
Primary malignancy malignant melanoma,C43.5,Malignant neoplasm: Malignant melanoma of trunk
Primary malignancy malignant melanoma,C43.6,"Malignant neoplasm: Malignant melanoma of upper limb, including shoulder"
Primary malignancy malignant melanoma,C43.7,"Malignant neoplasm: Malignant melanoma of lower limb, including hip"
Primary malignancy malignant melanoma,C43.8,Malignant neoplasm: Overlapping malignant melanoma of skin
Primary malignancy malignant melanoma,C69.9,"Malignant neoplasm: Eye, unspecified"
Primary malignancy malignant melanoma,D03.9,"Melanoma in situ, unspecified"
Primary malignancy malignant melanoma,D03.0,Melanoma in situ of lip
Primary malignancy malignant melanoma,D03.1,"Melanoma in situ of eyelid, including canthus"
Primary malignancy malignant melanoma,D03.2,Melanoma in situ of ear and external auricular canal
Primary malignancy malignant melanoma,D03.4,Melanoma in situ of scalp and neck
Primary malignancy malignant melanoma,D03.5,Melanoma in situ of trunk
Primary malignancy malignant melanoma,D03.6,"Melanoma in situ of upper limb, including shoulder"
Primary malignancy malignant melanoma,D03.7,"Melanoma in situ of lower limb, including hip"
Primary malignancy malignant melanoma,D03.3,Melanoma in situ of other and unspecified parts of face
Primary malignancy malignant melanoma,D03.8,Melanoma in situ of other sites
