"Disease","ICD10code","ICD10codeDescr"
"Secondary Malignancy_Adrenal gland","C79.7","Secondary malignant neoplasm of adrenal gland"
"Secondary Malignancy_Bone","C79.5","Secondary malignant neoplasm of bone and bone marrow"
"Secondary Malignancy_Bowel","C78.4","Secondary malignant neoplasm of small intestine"
"Secondary Malignancy_Bowel","C78.5","Secondary malignant neoplasm of large intestine and rectum"
"Secondary Malignancy_Brain, Other CNS and Intracranial","C79.3","Secondary malignant neoplasm of brain and cerebral meninges"
"Secondary Malignancy_Brain, Other CNS and Intracranial","C79.4","Secondary malignant neoplasm of other and unspecified parts of nervous system"
"Secondary malignancy_Liver and intrahepatic bile duct","C78.7","Secondary malignant neoplasm of liver and intrahepatic bile duct"
"Secondary Malignancy_Lung","C78.0","Secondary malignant neoplasm of lung"
"Secondary Malignancy_Lymph Nodes","C77","Secondary and unspecified malignant neoplasm of lymph nodes"
"Secondary Malignancy_Other organs","C78.1","Secondary malignant neoplasm of mediastinum"
"Secondary Malignancy_Other organs","C78.3","Secondary malignant neoplasm of other and unspecified respiratory organs"
"Secondary Malignancy_Other organs","C78.8","Secondary malignant neoplasm of other and unspecified digestive organs"
"Secondary Malignancy_Other organs","C79.0","Secondary malignant neoplasm of kidney and renal pelvis"
"Secondary Malignancy_Other organs","C79.1","Secondary malignant neoplasm of bladder and other and unspecified urinary organs"
"Secondary Malignancy_Other organs","C79.2","Secondary malignant neoplasm of skin"
"Secondary Malignancy_Other organs","C79.6","Secondary malignant neoplasm of ovary"
"Secondary Malignancy_Other organs","C79.8","Secondary malignant neoplasm of other specified sites"
"Secondary Malignancy_Other organs","C79.9","Secondary malignant neoplasm"
"Secondary Malignancy_Pleura","C78.2","Secondary malignant neoplasm of pleura"
"Secondary Malignancy_retroperitoneum and peritoneum","C78.6","Secondary malignant neoplasm of retroperitoneum and peritoneum"
