Disease,ICD10code,ICD10codeDescr
Peptic ulcer disease,K25,Gastric ulcer
Peptic ulcer disease,K26,Duodenal ulcer
Peptic ulcer disease,K27,Peptic ulcer
Peptic ulcer disease,K28,Gastrojejunal ulcer
Peptic ulcer disease,K22.1,Ulcer of oesophagus
Peptic ulcer disease,K25,Gastric ulcer
Peptic ulcer disease,K25.3,Gastric ulcer acute without haemorrhage or perforation
Peptic ulcer disease,K25.0,Gastric ulcer acute with haemorrhage
Peptic ulcer disease,K25.1,Gastric ulcer acute with perforation
Peptic ulcer disease,K25.2,Gastric ulcer acute with both haemorrhage and perforation
Peptic ulcer disease,K25.7,Gastric ulcer chronic without haemorrhage or perforation
Peptic ulcer disease,K25.4,Gastric ulcer chronic or unspecified with haemorrhage
Peptic ulcer disease,K25.5,Gastric ulcer chronic or unspecified with perforation
Peptic ulcer disease,K25.6,Gastric ulcer chronic or unspecified with both haemorrhage and perforation
Peptic ulcer disease,K25.9,"Gastric ulcer unspecified as acute or chronic, without haemorrhage or perforation"
Peptic ulcer disease,K26,Duodenal ulcer
Peptic ulcer disease,K26.3,Duodenal ulcer acute without haemorrhage or perforation
Peptic ulcer disease,K26.0,Duodenal ulcer acute with haemorrhage
Peptic ulcer disease,K26.1,Duodenal ulcer acute with perforation
Peptic ulcer disease,K26.2,Duodenal ulcer acute with both haemorrhage and perforation
Peptic ulcer disease,K26.7,Duodenal ulcer chronic without haemorrhage or perforation
Peptic ulcer disease,K26.4,Duodenal ulcer chronic or unspecified with haemorrhage
Peptic ulcer disease,K26.5,Duodenal ulcer chronic or unspecified with perforation
Peptic ulcer disease,K26.6,Duodenal ulcer chronic or unspecified with both haemorrhage and perforation
Peptic ulcer disease,K26.9,"Duodenal ulcer unspecified as acute or chronic, without haemorrhage or perforation"
Peptic ulcer disease,K27.9,"Peptic ulcer, site unspecified unspecified as acute or chronic, without haemorrhage or perforation"
Peptic ulcer disease,K27.3,"Peptic ulcer, site unspecified acute without haemorrhage or perforation"
Peptic ulcer disease,K27.0,"Peptic ulcer, site unspecified acute with haemorrhage"
Peptic ulcer disease,K27.1,"Peptic ulcer, site unspecified acute with perforation"
Peptic ulcer disease,K27.2,"Peptic ulcer, site unspecified acute with both haemorrhage and perforation"
Peptic ulcer disease,K27.7,"Peptic ulcer, site unspecified chronic without haemorrhage or perforation"
Peptic ulcer disease,K27.4,"Peptic ulcer, site unspecified chronic or unspecified with haemorrhage"
Peptic ulcer disease,K27.5,"Peptic ulcer, site unspecified chronic or unspecified with perforation"
Peptic ulcer disease,K27.6,"Peptic ulcer, site unspecified chronic or unspecified with both haemorrhage and perforation"
Peptic ulcer disease,K28,Gastrojejunal ulcer
Peptic ulcer disease,K28.3,Gastrojejunal ulcer acute without haemorrhage or perforation
Peptic ulcer disease,K28.0,Gastrojejunal ulcer acute with haemorrhage
Peptic ulcer disease,K28.1,Gastrojejunal ulcer acute with perforation
Peptic ulcer disease,K28.2,Gastrojejunal ulcer acute with both haemorrhage and perforation
Peptic ulcer disease,K28.7,Gastrojejunal ulcer chronic without haemorrhage or perforation
Peptic ulcer disease,K28.6,Gastrojejunal ulcer chronic or unspecified with both haemorrhage and perforation
Peptic ulcer disease,K28.9,"Gastrojejunal ulcer unspecified as acute or chronic, without haemorrhage or perforation"
Peptic ulcer disease,K28.4,Gastrojejunal ulcer chronic or unspecified with haemorrhage
Peptic ulcer disease,K28.5,Gastrojejunal ulcer chronic or unspecified with perforation
