Condition,ICD10code,ICD10codeDescr
Cervical carcinoma in situ,D06,Carcinoma in situ of cervix uteri
Cervical carcinoma in situ,D06.0,Carcinoma in situ: Endocervix
Cervical carcinoma in situ,D06.1,Carcinoma in situ: Exocervix
Cervical carcinoma in situ,D06.7,Carcinoma in situ: Other parts of cervix
Cervical carcinoma in situ,D06.9,"Carcinoma in situ: Cervix, unspecified"
Cervical carcinoma in situ,N87,Dysplasia of cervix uteri
Cervical carcinoma in situ,N87.0,Mild cervical dysplasia
Cervical carcinoma in situ,N87.1,Moderate cervical dysplasia
Cervical carcinoma in situ,N87.2,"Severe cervical dysplasia, not elsewhere classified"
Cervical carcinoma in situ,N87.9,"Dysplasia of cervix uteri, unspecified"
