Condition,ICD10code,ICD10codeDescr
Diabetic neurological complications,E10.4,Insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E11.4,Non-insulin-dependent diabetes mellitus - With neurological complications
Diabetic neurological complications,E12.4,Malnutrition-related diabetes mellitus - With neurological complications
Diabetic neurological complications,E13.4,Other specified diabetes mellitus - With neurological complications
Diabetic neurological complications,E14.4,Unspecified diabetes mellitus - With neurological complications
Diabetic neurological complications,G59.0,Diabetic mononeuropathy
Diabetic neurological complications,G63.2,Diabetic polyneuropathy
Diabetic neurological complications,G590,Diabetic mononeuropathy
Diabetic neurological complications,G632,Diabetic polyneuropathy
Diabetic neurological complications,M142,Diabetic arthropathy
