Condition,ICD10code,ICD10codeDescr
Enthesopathies & synovial disorders,M12.8,"Other specific arthropathies, not elsewhere classified"
Enthesopathies & synovial disorders,M24.8,"Other specific joint derangements, not elsewhere classified"
Enthesopathies & synovial disorders,M46.0,Spinal enthesopathy
Enthesopathies & synovial disorders,M65,Synovitis and tenosynovitis
Enthesopathies & synovial disorders,M65.2,Calcific tendinitis
Enthesopathies & synovial disorders,M65.3,Trigger finger
Enthesopathies & synovial disorders,M65.4,Radial styloid tenosynovitis [de Quervain]
Enthesopathies & synovial disorders,M65.8,Other synovitis and tenosynovitis
Enthesopathies & synovial disorders,M65.9,Synovitis and tenosynovitis
Enthesopathies & synovial disorders,M65.9,"Synovitis and tenosynovitis, unspecified"
Enthesopathies & synovial disorders,M66,Spontaneous rupture of synovium and tendon
Enthesopathies & synovial disorders,M66.0,Rupture of popliteal cyst
Enthesopathies & synovial disorders,M66.1,Rupture of synovium
Enthesopathies & synovial disorders,M66.2,Spontaneous rupture of extensor tendons
Enthesopathies & synovial disorders,M66.3,Spontaneous rupture of flexor tendons
Enthesopathies & synovial disorders,M66.4,Spontaneous rupture of other tendons
Enthesopathies & synovial disorders,M66.5,Spontaneous rupture of unspecified tendon
Enthesopathies & synovial disorders,M67.3,Transient synovitis
Enthesopathies & synovial disorders,M70,Soft tissue disorders related to use
Enthesopathies & synovial disorders,M70.0,Chronic crepitant synovitis of hand and wrist
Enthesopathies & synovial disorders,M70.1,Bursitis of hand
Enthesopathies & synovial disorders,M70.2,Olecranon bursitis
Enthesopathies & synovial disorders,M70.3,Other bursitis of elbow
Enthesopathies & synovial disorders,M70.4,Prepatellar bursitis
Enthesopathies & synovial disorders,M70.5,Other bursitis of knee
Enthesopathies & synovial disorders,M70.6,Trochanteric bursitis
Enthesopathies & synovial disorders,M70.7,Other bursitis of hip
Enthesopathies & synovial disorders,M70.8,"Other soft tissue disorders related to use, overuse and pressure"
Enthesopathies & synovial disorders,M71.2,Synovial cyst of popliteal space [Baker]
Enthesopathies & synovial disorders,M71.3,Other bursal cyst
Enthesopathies & synovial disorders,M71.4,Calcium deposit in bursa
Enthesopathies & synovial disorders,M71.5,Other bursitis
Enthesopathies & synovial disorders,M71.5,"Other bursitis, not elsewhere classified"
Enthesopathies & synovial disorders,M71.8,Other specified bursopathies
Enthesopathies & synovial disorders,M71.9,Bursopathy
Enthesopathies & synovial disorders,M71.9,"Bursopathy, unspecified"
Enthesopathies & synovial disorders,M75,Shoulder lesions
Enthesopathies & synovial disorders,M75.0,Adhesive capsulitis of shoulder
Enthesopathies & synovial disorders,M75.1,Rotator cuff syndrome
Enthesopathies & synovial disorders,M75.2,Bicipital tendinitis
Enthesopathies & synovial disorders,M75.3,Calcific tendinitis of shoulder
Enthesopathies & synovial disorders,M75.4,Impingement syndrome of shoulder
Enthesopathies & synovial disorders,M75.5,Bursitis of shoulder
Enthesopathies & synovial disorders,M76,Enthesopathies of lower limb
Enthesopathies & synovial disorders,M76.0,Gluteal tendinitis
Enthesopathies & synovial disorders,M76.1,Psoas tendinitis
Enthesopathies & synovial disorders,M76.2,Iliac crest spur
Enthesopathies & synovial disorders,M76.3,Iliotibial band syndrome
Enthesopathies & synovial disorders,M76.4,Tibial collateral bursitis [Pellegrini-Stieda]
Enthesopathies & synovial disorders,M76.5,Patellar tendinitis
Enthesopathies & synovial disorders,M76.6,Achilles tendinitis
Enthesopathies & synovial disorders,M76.7,Peroneal tendinitis
Enthesopathies & synovial disorders,M76.8,"Other enthesopathies of lower limb, excluding foot"
Enthesopathies & synovial disorders,M76.9,"Enthesopathy of lower limb, unspecified"
Enthesopathies & synovial disorders,M77.0,Medial epicondylitis
Enthesopathies & synovial disorders,M77.1,Lateral epicondylitis
Enthesopathies & synovial disorders,M77.2,Periarthritis of wrist
Enthesopathies & synovial disorders,M77.3,Calcaneal spur
Enthesopathies & synovial disorders,M77.5,Other enthesopathy of foot
Enthesopathies & synovial disorders,M77.8,Other enthesopathies
Enthesopathies & synovial disorders,M77.8,"Other enthesopathies, not elsewhere classified"
Enthesopathies & synovial disorders,M77.9,Enthesopathy
Enthesopathies & synovial disorders,M77.9,"Enthesopathy, unspecified"
Enthesopathies & synovial disorders,S46.0,Injury of muscle(s) and tendon(s) of the rotator cuff of shoulder
