Condition,ICD10code,ICD10codeDescr
Epilepsy,F80.3,Acquired aphasia with epilepsy [Landau-Kleffner]
Epilepsy,G25.3,Myoclonus
Epilepsy,G40,Epilepsy
Epilepsy,G40.0,Localization-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset
Epilepsy,G40.1,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
Epilepsy,G40.2,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures
Epilepsy,G40.3,Generalized idiopathic epilepsy and epileptic syndromes
Epilepsy,G40.4,Other generalized epilepsy and epileptic syndromes
Epilepsy,G40.5,Special epileptic syndromes
Epilepsy,G40.6,"Grand mal seizures, unspecified (with or without petit mal)"
Epilepsy,G40.7,"Petit mal, unspecified, without grand mal seizures"
Epilepsy,G40.8,Other epilepsy
Epilepsy,G40.9,"Epilepsy, unspecified"
Epilepsy,G41,Status epilepticus
Epilepsy,G41.0,Grand mal status epilepticus
Epilepsy,G41.1,Petit mal status epilepticus
Epilepsy,G41.2,Complex partial status epilepticus
Epilepsy,G41.8,Other status epilepticus
Epilepsy,G41.9,"Status epilepticus, unspecified"
