Condition,ICD10code,ICD10codeDescr
Female infertility,N97,Female infertility
Female infertility,N97.0,Female infertility associated with anovulation
Female infertility,N97.1,Female infertility of tubal origin
Female infertility,N97.2,Female infertility of uterine origin
Female infertility,N97.3,Female infertility of cervical origin
Female infertility,N97.4,Female infertility associated with male factors
Female infertility,N97.8,Female infertility of other origin
Female infertility,N97.9,"Female infertility, unspecified"
Female infertility,Z31.9,"Procreative management, unspecified"
Female infertility,Z35.0,Supervision of pregnancy with history of infertility
