Condition,ICD10code,ICD10codeDescr
Other haemolytic anaemias,D55,Anaemia due to enzyme disorders
Other haemolytic anaemias,D55.0,Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
Other haemolytic anaemias,D55.1,Anaemia due to other disorders of glutathione metabolism
Other haemolytic anaemias,D55.2,Anaemia due to disorders of glycolytic enzymes
Other haemolytic anaemias,D55.3,Anaemia due to disorders of nucleotide metabolism
Other haemolytic anaemias,D55.9,"Anaemia due to enzyme disorder, unspecified"
Other haemolytic anaemias,D56.0,Alpha thalassaemia
Other haemolytic anaemias,D56.4,Hereditary persistence of fetal haemoglobin [HPFH]
Other haemolytic anaemias,D58,Other hereditary haemolytic anaemias
Other haemolytic anaemias,D58.0,Hereditary spherocytosis
Other haemolytic anaemias,D58.1,Hereditary elliptocytosis
Other haemolytic anaemias,D58.2,Other haemoglobinopathies
Other haemolytic anaemias,D58.8,Other specified hereditary haemolytic anaemias
Other haemolytic anaemias,D58.9,"Hereditary haemolytic anaemia, unspecified"
Other haemolytic anaemias,D59,Acquired haemolytic anaemia
Other haemolytic anaemias,D59.0,Drug-induced autoimmune haemolytic anaemia
Other haemolytic anaemias,D59.1,Other autoimmune haemolytic anaemias
Other haemolytic anaemias,D59.2,Drug-induced nonautoimmune haemolytic anaemia
Other haemolytic anaemias,D59.3,Haemolytic-uraemic syndrome
Other haemolytic anaemias,D59.4,Other nonautoimmune haemolytic anaemias
Other haemolytic anaemias,D59.5,Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli]
Other haemolytic anaemias,D59.6,Haemoglobinuria due to haemolysis from other external causes
Other haemolytic anaemias,D59.8,Other acquired haemolytic anaemias
Other haemolytic anaemias,D59.9,"Acquired haemolytic anaemia, unspecified"
