Condition,ICD10code,ICD10codeDescr
Primary malignancy oro-pharyngeal,C00,Malignant neoplasm of lip
Primary malignancy oro-pharyngeal,C00.0,Malignant neoplasm: External upper lip
Primary malignancy oro-pharyngeal,C00.1,Malignant neoplasm: External lower lip
Primary malignancy oro-pharyngeal,C00.2,"Malignant neoplasm: External lip, unspecified"
Primary malignancy oro-pharyngeal,C00.3,"Malignant neoplasm: Upper lip, inner aspect"
Primary malignancy oro-pharyngeal,C00.4,"Malignant neoplasm: Lower lip, inner aspect"
Primary malignancy oro-pharyngeal,C00.5,"Malignant neoplasm: Lip, unspecified, inner aspect"
Primary malignancy oro-pharyngeal,C00.6,Malignant neoplasm: Commissure of lip
Primary malignancy oro-pharyngeal,C00.8,Malignant neoplasm: Overlapping lesion of lip
Primary malignancy oro-pharyngeal,C00.9,"Malignant neoplasm: Lip, unspecified"
Primary malignancy oro-pharyngeal,C01,Malignant neoplasm of base of tongue
Primary malignancy oro-pharyngeal,C02,Malignant neoplasm of other and unspecified parts of tongue
Primary malignancy oro-pharyngeal,C02.0,Malignant neoplasm: Dorsal surface of tongue
Primary malignancy oro-pharyngeal,C02.1,Malignant neoplasm: Border of tongue
Primary malignancy oro-pharyngeal,C02.2,Malignant neoplasm: Ventral surface of tongue
Primary malignancy oro-pharyngeal,C02.3,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified"
Primary malignancy oro-pharyngeal,C02.4,Malignant neoplasm: Lingual tonsil
Primary malignancy oro-pharyngeal,C02.8,Malignant neoplasm: Overlapping lesion of tongue
Primary malignancy oro-pharyngeal,C02.9,"Malignant neoplasm: Tongue, unspecified"
Primary malignancy oro-pharyngeal,C03,Malignant neoplasm of gum
Primary malignancy oro-pharyngeal,C03.0,Malignant neoplasm: Upper gum
Primary malignancy oro-pharyngeal,C03.1,Malignant neoplasm: Lower gum
Primary malignancy oro-pharyngeal,C03.9,"Malignant neoplasm: Gum, unspecified"
Primary malignancy oro-pharyngeal,C04,Malignant neoplasm of floor of mouth
Primary malignancy oro-pharyngeal,C04.0,Malignant neoplasm: Anterior floor of mouth
Primary malignancy oro-pharyngeal,C04.1,Malignant neoplasm: Lateral floor of mouth
Primary malignancy oro-pharyngeal,C04.8,Malignant neoplasm: Overlapping lesion of floor of mouth
Primary malignancy oro-pharyngeal,C04.9,"Malignant neoplasm: Floor of mouth, unspecified"
Primary malignancy oro-pharyngeal,C05,Malignant neoplasm of palate
Primary malignancy oro-pharyngeal,C05.0,Malignant neoplasm: Hard palate
Primary malignancy oro-pharyngeal,C05.1,Malignant neoplasm: Soft palate
Primary malignancy oro-pharyngeal,C05.2,Malignant neoplasm: Uvula
Primary malignancy oro-pharyngeal,C05.8,Malignant neoplasm: Overlapping lesion of palate
Primary malignancy oro-pharyngeal,C05.9,"Malignant neoplasm: Palate, unspecified"
Primary malignancy oro-pharyngeal,C06,Malignant neoplasm of other and unspecified parts of mouth
Primary malignancy oro-pharyngeal,C06.0,Malignant neoplasm: Cheek mucosa
Primary malignancy oro-pharyngeal,C06.1,Malignant neoplasm: Vestibule of mouth
Primary malignancy oro-pharyngeal,C06.2,Malignant neoplasm: Retromolar area
Primary malignancy oro-pharyngeal,C06.9,"Malignant neoplasm: Mouth, unspecified"
Primary malignancy oro-pharyngeal,C07,Malignant neoplasm of parotid gland
Primary malignancy oro-pharyngeal,C08,Malignant neoplasm of other and unspecified major salivary glands
Primary malignancy oro-pharyngeal,C08.0,Malignant neoplasm: Submandibular gland
Primary malignancy oro-pharyngeal,C08.1,Malignant neoplasm: Sublingual gland
Primary malignancy oro-pharyngeal,C08.9,"Malignant neoplasm: Major salivary gland, unspecified"
Primary malignancy oro-pharyngeal,C09,Malignant neoplasm of tonsil
Primary malignancy oro-pharyngeal,C09.0,Malignant neoplasm: Tonsillar fossa
Primary malignancy oro-pharyngeal,C09.1,Malignant neoplasm: Tonsillar pillar (anterior)(posterior)
Primary malignancy oro-pharyngeal,C09.8,Malignant neoplasm: Overlapping lesion of tonsil
Primary malignancy oro-pharyngeal,C09.9,"Malignant neoplasm: Tonsil, unspecified"
Primary malignancy oro-pharyngeal,C10,Malignant neoplasm of oropharynx
Primary malignancy oro-pharyngeal,C10.0,Malignant neoplasm: Vallecula
Primary malignancy oro-pharyngeal,C10.1,Malignant neoplasm: Anterior surface of epiglottis
Primary malignancy oro-pharyngeal,C10.2,Malignant neoplasm: Lateral wall of oropharynx
Primary malignancy oro-pharyngeal,C10.3,Malignant neoplasm: Posterior wall of oropharynx
Primary malignancy oro-pharyngeal,C10.8,Malignant neoplasm: Overlapping lesion of oropharynx
Primary malignancy oro-pharyngeal,C10.9,"Malignant neoplasm: Oropharynx, unspecified"
Primary malignancy oro-pharyngeal,C11,Malignant neoplasm of nasopharynx
Primary malignancy oro-pharyngeal,C11.0,Malignant neoplasm: Superior wall of nasopharynx
Primary malignancy oro-pharyngeal,C11.1,Malignant neoplasm: Posterior wall of nasopharynx
Primary malignancy oro-pharyngeal,C11.2,Malignant neoplasm: Lateral wall of nasopharynx
Primary malignancy oro-pharyngeal,C11.3,Malignant neoplasm: Anterior wall of nasopharynx
Primary malignancy oro-pharyngeal,C11.8,Malignant neoplasm: Overlapping lesion of nasopharynx
Primary malignancy oro-pharyngeal,C11.9,"Malignant neoplasm: Nasopharynx, unspecified"
Primary malignancy oro-pharyngeal,C12,Malignant neoplasm of piriform sinus
Primary malignancy oro-pharyngeal,C13,Malignant neoplasm of hypopharynx
Primary malignancy oro-pharyngeal,C13.0,Malignant neoplasm: Postcricoid region
Primary malignancy oro-pharyngeal,C13.2,Malignant neoplasm: Posterior wall of hypopharynx
Primary malignancy oro-pharyngeal,C13.9,"Malignant neoplasm: Hypopharynx, unspecified"
Primary malignancy oro-pharyngeal,C14,Malignant neoplasm of other and ill-defined sites in the lip oral cavity and pharynx
Primary malignancy oro-pharyngeal,C14.0,"Malignant neoplasm: Pharynx, unspecified"
Primary malignancy oro-pharyngeal,C14.2,Malignant neoplasm: Waldeyer ring
Primary malignancy oro-pharyngeal,C14.8,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx"
Primary malignancy oro-pharyngeal,C32.0,Malignant neoplasm: Glottis
