Condition,ICD10code,ICD10codeDescr
Primary malignancy other Skin and subcutaneous tissue,C44,Other malignant neoplasms of skin
Primary malignancy other Skin and subcutaneous tissue,C44.0,Malignant neoplasm: Skin of lip
Primary malignancy other Skin and subcutaneous tissue,C44.1,"Malignant neoplasm: Skin of eyelid, including canthus"
Primary malignancy other Skin and subcutaneous tissue,C44.2,Malignant neoplasm: Skin of ear and external auricular canal
Primary malignancy other Skin and subcutaneous tissue,C44.3,Malignant neoplasm: Skin of other and unspecified parts of face
Primary malignancy other Skin and subcutaneous tissue,C44.4,Malignant neoplasm: Skin of scalp and neck
Primary malignancy other Skin and subcutaneous tissue,C44.5,Malignant neoplasm: Skin of trunk
Primary malignancy other Skin and subcutaneous tissue,C44.6,"Malignant neoplasm: Skin of upper limb, including shoulder"
Primary malignancy other Skin and subcutaneous tissue,C44.7,"Malignant neoplasm: Skin of lower limb, including hip"
Primary malignancy other Skin and subcutaneous tissue,C44.8,Malignant neoplasm: Overlapping lesion of skin
Primary malignancy other Skin and subcutaneous tissue,C44.9,"Malignant neoplasm: Malignant neoplasm of skin, unspecified"
