Condition,OPCS4code,OPCS4codeDescr
Coronary heart disease,K40,Saphenous vein graft replacement of coronary artery
Coronary heart disease,K401,Saphenous vein graft replacement of one coronary artery
Coronary heart disease,K402,Saphenous vein graft replacement of two coronary arteries
Coronary heart disease,K403,Saphenous vein graft replacement of three coronary arteries
Coronary heart disease,K409,Unspecified saphenous vein graft replacement of coronary artery
Coronary heart disease,K41,Other autograft replacement of coronary artery
Coronary heart disease,K411,Autograft replacement of one coronary artery NEC
Coronary heart disease,K412,Autograft replacement of two coronary arteries NEC
Coronary heart disease,K413,Autograft replacement of three coronary arteries NEC
Coronary heart disease,K414,Autograft replacement of four or more coronary arteries NEC
Coronary heart disease,K419,Unspecified other autograft replacement of coronary artery
Coronary heart disease,K42,Allograft replacement of coronary artery
Coronary heart disease,K421,Allograft replacement of one coronary artery
Coronary heart disease,K422,Allograft replacement of two coronary arteries
Coronary heart disease,K423,Allograft replacement of three coronary arteries
Coronary heart disease,K424,Allograft replacement of four or more coronary arteries
Coronary heart disease,K428,Other specified allograft replacement of coronary artery
Coronary heart disease,K429,Unspecified allograft replacement of coronary artery
Coronary heart disease,K43,Prosthetic replacement of coronary artery
Coronary heart disease,K431,Prosthetic replacement of one coronary artery
Coronary heart disease,K432,Prosthetic replacement of two coronary arteries
Coronary heart disease,K433,Prosthetic replacement of three coronary arteries
Coronary heart disease,K434,Prosthetic replacement of four or more coronary arteries
Coronary heart disease,K439,Unspecified prosthetic replacement of coronary artery
Coronary heart disease,K44,Other replacement of coronary artery
Coronary heart disease,K441,Replacement of coronary arteries using multiple methods
Coronary heart disease,K448,Other specified other replacement of coronary artery
Coronary heart disease,K449,Unspecified other replacement of coronary artery
Coronary heart disease,K451,Double anastomosis of mammary arteries to coronary arteries
Coronary heart disease,K454,Anastomosis of mammary artery to coronary artery NEC
Coronary heart disease,K455,Anastomosis of thoracic artery to coronary artery NEC
Coronary heart disease,K459,Unspecified connection of thoracic artery to coronary artery
Coronary heart disease,K46,Other bypass of coronary artery
Coronary heart disease,K463,Implantation of mammary artery into heart NEC
Coronary heart disease,K468,Other specified other bypass of coronary artery
Coronary heart disease,K469,Unspecified other bypass of coronary artery
Coronary heart disease,K471,Endarterectomy of coronary artery
Coronary heart disease,K483,Open angioplasty of coronary artery
Coronary heart disease,K49,Transluminal balloon angioplasty of coronary artery
Coronary heart disease,K499,Unspecified transluminal balloon angioplasty of coronary artery
Coronary heart disease,K501,Percutaneous transluminal laser coronary angioplasty
Coronary heart disease,K504,Percutaneous transluminal atherectomy of coronary artery
Coronary heart disease,K508,Other specified other therapeutic transluminal operations on coronary artery
Coronary heart disease,K751,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery
Coronary heart disease,K753,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery
Coronary heart disease,L665,Percutaneous transluminal balloon angioplasty of artery
Coronary heart disease,L711,Percutaneous transluminal angioplasty of artery
Coronary heart disease,L717,Percutaneous transluminal atherectomy
Coronary heart disease,L718,Other specified therapeutic transluminal operations on other artery
Coronary heart disease,L972,Peroperative angioplasty
