Condition,OPCS4code,OPCS4codeDescr
Gastro-oesophageal reflux disease,G24,Antireflux operations
Gastro-oesophageal reflux disease,G241,Antireflux fundoplication using thoracic approach
Gastro-oesophageal reflux disease,G242,Antireflux operation using thoracic approach NEC
Gastro-oesophageal reflux disease,G243,Antireflux fundoplication using abdominal approach
Gastro-oesophageal reflux disease,G244,Antireflux gastropexy
Gastro-oesophageal reflux disease,G245,Gastroplasty and antireflux procedure HFQ
Gastro-oesophageal reflux disease,G246,Insertion of Angelchick prosthesis
Gastro-oesophageal reflux disease,G248,Other specified antireflux operations
Gastro-oesophageal reflux disease,G249,Unspecified antireflux operations
Gastro-oesophageal reflux disease,G25,Revision of antireflux operations
Gastro-oesophageal reflux disease,G251,Revision of fundoplication of stomach
Gastro-oesophageal reflux disease,G252,Adjustment to Angelchick prosthesis
Gastro-oesophageal reflux disease,G253,Removal of Angelchick prosthesis
Gastro-oesophageal reflux disease,G258,Other specified revision of antireflux operations
Gastro-oesophageal reflux disease,G259,Unspecified revision of antireflux operations
