Condition,OPCS4code,OPCS4codeDescr
Aortic aneurysm,L18,Emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,L185,Emergency replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
Aortic aneurysm,L186,Emergency replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery
Aortic aneurysm,L189,Unspecified emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,L19,Other replacement of aneurysmal segment of aorta
Aortic aneurysm,L195,Replacement of aneurysmal segment of abdominal aorta by anastomosis of aorta to aorta NEC
Aortic aneurysm,L196,Replacement of aneurysmal bifurcation of aorta by anastomosis of aorta to iliac artery NEC
Aortic aneurysm,L199,Unspecified other replacement of aneurysmal segment of aorta
Aortic aneurysm,L254,Operations on aneurysm of aorta NEC
Aortic aneurysm,L28,Transluminal operations on aneurysmal segment of aorta
Aortic aneurysm,L282,Endovascular insertion of stent for suprarenal aortic aneurysm
Aortic aneurysm,L283,Endovascular insertion of stent for thoracic aortic aneurysm
Aortic aneurysm,L285,Endovascular insertion of stent for aortic aneurysm of bifurcation NEC
Aortic aneurysm,L289,Unspecified transluminal operations on aneurysmal segment of aorta
