Condition,OPCS4code,OPCS4codeDescr
Peptic ulcer disease,G35,Operations on ulcer of stomach
Peptic ulcer disease,G351,Closure of perforated ulcer of stomach
Peptic ulcer disease,G352,Closure of ulcer of stomach NEC
Peptic ulcer disease,G358,Other specified operations on ulcer of stomach
Peptic ulcer disease,G359,Unspecified operations on ulcer of stomach
Peptic ulcer disease,G52,Operations on ulcer of duodenum
Peptic ulcer disease,G521,Closure of perforated ulcer of duodenum
Peptic ulcer disease,G522,Suture of ulcer of duodenum NEC
Peptic ulcer disease,G523,Oversew of blood vessel of duodenal ulcer
Peptic ulcer disease,G528,Other specified operations on ulcer of duodenum
Peptic ulcer disease,G529,Unspecified operations on ulcer of duodenum
