Condition,OPCS4code,OPCS4codeDescr
Portal hypertension and oesophageal varices,G10,Open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G101,Disconnection of azygos vein
Portal hypertension and oesophageal varices,G102,Transection of oesophagus using staple gun
Portal hypertension and oesophageal varices,G103,Transection of oesophagus NEC
Portal hypertension and oesophageal varices,G104,Local ligation of varices of oesophagus
Portal hypertension and oesophageal varices,G105,Open injection sclerotherapy to varices of oesophagus
Portal hypertension and oesophageal varices,G108,Other specified open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G109,Unspecified open operations on varices of oesophagus
Portal hypertension and oesophageal varices,G148,Other specified fibreoptic endoscopic extirpation of lesion of oesophagus
Portal hypertension and oesophageal varices,G174,Endoscopic injection sclerotherapy to varices of oesophagus using rigid oesophagoscope
Portal hypertension and oesophageal varices,G178,Other specified endoscopic extirpation of lesion of oesophagus using rigid oesophagoscope
Portal hypertension and oesophageal varices,G437,Fibreoptic endoscopic rubber band ligation of upper gastrointestinal tract varices
