Condition,ReadCode,MedCode,ReadTerm
Early pregnancy loss, L03..00 ,1744, Ectopic pregnancy
Early pregnancy loss, 7E19000 ,2218, Removal of products of conception from fallopian tube
Early pregnancy loss, L031200 ,3874, Tubal abortion
Early pregnancy loss, 7E13300 ,11986, Excision of ruptured ectopic tubal pregnancy
Early pregnancy loss, 584E.00 ,13984, Antenatal ultrasound confirms ectopic pregnancy
Early pregnancy loss, L03y200 ,21467, Membranous pregnancy
Early pregnancy loss, L031.00 ,21849, Tubal pregnancy
Early pregnancy loss, 7E13100 ,27672, Excision of ectopic ovarian pregnancy
Early pregnancy loss, 7E19011 ,29122, Removal of ectopic pregnancy from fallopian tube
Early pregnancy loss, L03y100 ,32950, Cornual pregnancy
Early pregnancy loss, L511.00 ,33441, Maternal care for viable fetus in abdominal pregnancy
Early pregnancy loss, L03z.00 ,33724, Ectopic pregnancy NOS
Early pregnancy loss, 7E19012 ,40279, Fimbrial extraction of tubal pregnancy
Early pregnancy loss, L031000 ,44729, Fallopian tube pregnancy
Early pregnancy loss, L031z00 ,50512, Tubal pregnancy NOS
Early pregnancy loss, L03y000 ,52221, Cervical pregnancy
Early pregnancy loss, Lyu0000 ,53908, [X]Other ectopic pregnancy
Early pregnancy loss, L030.00 ,54866, Abdominal pregnancy
Early pregnancy loss, L03y.00 ,58156, Other ectopic pregnancy
Early pregnancy loss, L031100 ,59139, Gravid fallopian tube rupture
Early pregnancy loss, L032.00 ,59276, Ovarian pregnancy
Early pregnancy loss, L03yz00 ,61995, Other ectopic pregnancy NOS
Early pregnancy loss, Q014.00 ,63825, Fetus or neonate affected by ectopic pregnancy
Early pregnancy loss, Q014100 ,99006, Fetus or neonate affected by abdominal ectopic pregnancy
Early pregnancy loss, Q014300 ,99008, Fetus or neonate affected by tubal ectopic pregnancy
Early pregnancy loss, L03y300 ,106267, Combined or heterotopic pregnancy
Early pregnancy loss, Q014000 ,107485, Fetus or neonate affected by unspecified ectopic pregnancy
Early pregnancy loss, L03y500 ,112265, Intraligamentous pregnancy
Early pregnancy loss, L04..11 ,165, Miscarriage
Early pregnancy loss, L02..00 ,1737, Missed abortion
Early pregnancy loss, L10zz11 ,2034, Inevitable abortion
Early pregnancy loss, L04..00 ,3082, Spontaneous abortion
Early pregnancy loss, 7E08800 ,4708, Dilation and curettage removal of missed abortion
Early pregnancy loss, L044.00 ,7114, Inevitable abortion incomplete
Early pregnancy loss, L041.00 ,7413, Spontaneous abortion incomplete
Early pregnancy loss, L042.00 ,7817, Spontaneous abortion complete
Early pregnancy loss, L043.00 ,8173, Inevitable abortion unspecified
Early pregnancy loss, L097000 ,8996," Readmis for retain products of concept, spontaneous abortion"
Early pregnancy loss, L043.11 ,11234, Inevitable miscarriage unspecified
Early pregnancy loss, L045.11 ,11323, Inevitable miscarriage complete
Early pregnancy loss, L02..11 ,12241, Missed miscarriage
Early pregnancy loss, L044.11 ,17625, Inevitable miscarriage incomp
Early pregnancy loss, L04z.00 ,22379, Spontaneous abortion NOS
Early pregnancy loss, L041z00 ,29439, Incomplete spontaneous abortion NOS
Early pregnancy loss, L042z00 ,29940, Complete spontaneous abortion NOS
Early pregnancy loss, L041z11 ,30276, Retained products after spontaneous abortion
Early pregnancy loss, L045.00 ,33501, Inevitable abortion complete
Early pregnancy loss, L045z00 ,33989, Complete inevitable abortion without complication
Early pregnancy loss,6755,35309, Post miscarriage counselling
Early pregnancy loss, L040011 ,40258, Spontaneous abortion with sepsis
Early pregnancy loss, L041100 ,41783, Incomp spontaneous abortion + delayed/excessive haemorrhage
Early pregnancy loss, L040.00 ,42458, Spontaneous abortion unspecified
Early pregnancy loss, L040111 ,45340, Spontaneous abortion with heavy bleeding
Early pregnancy loss, L040900 ,48603, Inevitable miscarriage
Early pregnancy loss, L041y00 ,50653, Incomp spontaneous abortion with no mention of complication
Early pregnancy loss, L044z00 ,51614, Incomplete inevitable abortion without complication
Early pregnancy loss, L044z11 ,53836, Incomplete inevitable miscarriage without complication
Early pregnancy loss, L045z11 ,55404, Complete inevitable miscarriage without complication
Early pregnancy loss, L042y00 ,56325, Complete spontaneous abortion + no mention of complication
Early pregnancy loss, L040z00 ,56562, Unspecified spontaneous abortion NOS
Early pregnancy loss, L041w00 ,56828, Incomp spontaneous abortion + other specified complication
Early pregnancy loss, L045y11 ,57576, Complete inevitable miscarriage with OS complication
Early pregnancy loss, L045x00 ,59116, Complete inevitable abortion with unspecified complication
Early pregnancy loss, L045y00 ,63777, Complete inevitable abortion with OS complication
Early pregnancy loss, L042x00 ,63778, Complete spontaneous abortion with complication NOS
Early pregnancy loss,9535,64736, Spontaneous misc 8-28 weeks
Early pregnancy loss, L043y00 ,66365, Unspecified inevitable abortion with OS complication
