Condition,ReadCode,MedCode,ReadTerm
Personality disorder,E21..00,2076,Personality disorders
Personality disorder,E21..11,28227,Neurotic personality disorder
Personality disorder,E210.00,5652,Paranoid personality disorder
Personality disorder,E211.00,14979,Affective personality disorder
Personality disorder,E211000,16178,Unspecified affective personality disorder
Personality disorder,E211100,12228,Hypomanic personality disorder
Personality disorder,E211200,10455,Depressive personality disorder
Personality disorder,E211300,12707,Cyclothymic personality disorder
Personality disorder,E211z00,51497,Affective personality disorder NOS
Personality disorder,E212.00,3369,Schizoid personality disorder
Personality disorder,E212000,67130,Unspecified schizoid personality disorder
Personality disorder,E212100,39011,Introverted personality
Personality disorder,E212200,61969,Schizotypal personality
Personality disorder,E212z00,14747,Schizoid personality disorder NOS
Personality disorder,E213.00,23597,Explosive personality disorder
Personality disorder,E213.11,6339,Aggressive personality
Personality disorder,E213.12,36043,Quarrelsome personality
Personality disorder,E214.00,20881,Compulsive personality disorders
Personality disorder,E214.11,40057,Anancastic personality
Personality disorder,E214000,30395,Anankastic personality
Personality disorder,E214100,1293,Obsessional personality
Personality disorder,E214z00,34456,Compulsive personality disorder NOS
Personality disorder,E215.00,27481,Histrionic personality disorders
Personality disorder,E215.11,4759,Hysterical personality disorders
Personality disorder,E215000,44242,Unspecified histrionic personality disorder
Personality disorder,E215200,3709,Emotionally unstable personality
Personality disorder,E215300,67590,Psychoinfantile personality
Personality disorder,E215z00,60522,Histrionic personality disorder NOS
Personality disorder,E216.00,4515,Inadequate personality disorder
Personality disorder,E216.11,48796,Asthenic personality
Personality disorder,E216.12,21665,Dependent personality
Personality disorder,E216.13,19931,Labile personality
Personality disorder,E217.00,23977,Antisocial or sociopathic personality disorder
Personality disorder,E217.11,68042,Amoral personality
Personality disorder,E21y.00,25146,Other personality disorders
Personality disorder,E21y000,37289,Narcissistic personality disorder
Personality disorder,E21y100,35642,Avoidant personality disorder
Personality disorder,E21y200,18565,Borderline personality disorder
Personality disorder,E21y300,35763,Passive-aggressive personality disorder
Personality disorder,E21y400,27803,Eccentric personality disorder
Personality disorder,E21y500,1364,Immature personality disorder
Personality disorder,E21y600,70899,Masochistic personality disorder
Personality disorder,E21y700,21077,Psychoneurotic personality disorder
Personality disorder,E21y711,2729,Neurotic personality
Personality disorder,E21yz00,15960,Other personality disorder NOS
Personality disorder,E21yz11,20033,Manipulative personality
Personality disorder,E21z.00,15098,Personality disorder NOS
Personality disorder,E21z.11,792,Psychopathic personality
Personality disorder,E2C3500,94096,Isolated explosive disorder
