Condition,ReadCode,MedCode,ReadTerm
Aortic aneurysm,14AE.00,16993,H/O: aortic aneurysm
Aortic aneurysm,66f3.00,103613,Aortic aneurysm monitoring
Aortic aneurysm,7A11.00,52358,Replacement of aneurysmal bifurcation of aorta
Aortic aneurysm,7A11000,96654,Emerg repl aneurysm bifurc aorta by anast aorta to fem art
Aortic aneurysm,7A11100,56495,Replace aneurysm bifurc aorta by anast aorta to femoral art
Aortic aneurysm,7A11200,69922,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a
Aortic aneurysm,7A11211,92925,Y graft of abdominal Aortic aneurysm (emergency)
Aortic aneurysm,7A11300,56510,Replace aneurysm bifurc aorta by anast aorta to iliac artery
Aortic aneurysm,7A11311,51166,Y graft abdominal Aortic aneurysm
Aortic aneurysm,7A11y00,62301,Replacement of aneurysmal bifurcation of aorta OS
Aortic aneurysm,7A11z00,66761,Replacement of aneurysmal bifurcation of aorta NOS
Aortic aneurysm,7A13.00,31613,Emergency replacement of aneurysmal segment of aorta
Aortic aneurysm,7A13.11,17220,Emergency repair of aortic aneurysm
Aortic aneurysm,7A13000,99722,Emerg replace aneurysm asc aorta by anastom aorta to aorta
Aortic aneurysm,7A13100,93060,Emerg replace aneurysm thor aorta by anastom aorta to aorta
Aortic aneurysm,7A13300,66232,Emerg replace aneurysm infrarenal aorta by anast aorta/aorta
Aortic aneurysm,7A13400,54192,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
Aortic aneurysm,7A13411,63408,Tube graft abdominal Aortic aneurysm (emergency)
Aortic aneurysm,7A13y00,45477,Emergency replacement of aneurysmal segment of aorta OS
Aortic aneurysm,7A13z00,45474,Emergency replacement of aneurysmal segment of aorta NOS
Aortic aneurysm,7A14.00,43108,Other replacement of aneurysmal segment of aorta
Aortic aneurysm,7A14.11,1736,Aortic aneurysm repair
Aortic aneurysm,7A14000,64961,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
Aortic aneurysm,7A14100,42444,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
Aortic aneurysm,7A14200,54379,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
Aortic aneurysm,7A14300,44553,Replace aneurys infrarenal aorta by anast aorta to aorta NEC
Aortic aneurysm,7A14400,19996,Replace aneurysm abdominal aorta by anast aorta to aorta NEC
Aortic aneurysm,7A14411,26232,Tube graft of Abdominal aortic aneurysm
Aortic aneurysm,7A14y00,55445,Other replacement of aneurysmal segment of aorta OS
Aortic aneurysm,7A14z00,36651,Other replacement of aneurysmal segment of aorta NOS
Aortic aneurysm,7A15400,102031,Emerg bypass abdominal aorta by anastom aorta to aorta NEC
Aortic aneurysm,7A19400,33430,Operation on aneurysm of aorta NEC
Aortic aneurysm,7A1B.00,93959,Transluminal operations on aneurysmal segment of aorta
Aortic aneurysm,7A1B000,70446,Endovascular stenting infrarenal abdominal aortic aneurysm
Aortic aneurysm,7A1B100,97030,Endovascular stenting of suprarenal aortic aneurysm
Aortic aneurysm,7A1B200,51061,Endovascular stenting of thoracic aortic aneurysm
Aortic aneurysm,7A1B600,100195,Endovascular stenting for aortic aneurysm of bifurcation NEC
Aortic aneurysm,7A1B800,97217,Endovascul insert stent infrarenal abdominal aortic aneurysm
Aortic aneurysm,7A1B900,106780,Endovascular insertion stent for suprarenal aortic aneurysm
Aortic aneurysm,7A1BA00,98542,Endovascular insertion of stent for thoracic aortic aneurysm
Aortic aneurysm,7A1BC00,99859,Endovas insert stent for aortic aneurysm of bifurcation NEC
Aortic aneurysm,7A1Bz00,90861,Transluminal operations on aneurysmal segment of aorta NOS
Aortic aneurysm,7A1C.00,94331,Translum insert stent graft for aneurysmal segment of aorta
Aortic aneurysm,7A1C000,83577,Endovas ins stent graft for infrarenal abdom aortic aneurysm
Aortic aneurysm,7A1C100,94682,Endovas insert of stent graft for suprarenal aortic aneurysm
Aortic aneurysm,7A1C200,91462,Endov insertion of stent graft for thoracic aortic aneurysm
Aortic aneurysm,7A1Cy00,98565,OS translum ins stent graft for aneurysmal segment of aorta
Aortic aneurysm,7A1Cz00,93627,Translum ins stent graft for aneurysmal segment of aorta NOS
Aortic aneurysm,7A34K00,66633,Operation on aneurysm visceral branch of abdominal aorta NEC
Aortic aneurysm,A930.00,62061,Syphilitic aortic aneurysm
Aortic aneurysm,G71..00,1735,Aortic aneurysm
Aortic aneurysm,G710.00,16521,Dissecting aortic aneurysm
Aortic aneurysm,G711.00,27563,Thoracic aortic aneurysm which has ruptured
Aortic aneurysm,G711.11,16800,Ruptured thoracic aortic aneurysm
Aortic aneurysm,G712.00,23532,Thoracic aortic aneurysm without mention of rupture
Aortic aneurysm,G713.00,17767,Abdominal aortic aneurysm which has ruptured
Aortic aneurysm,G713.11,13572,Ruptured abdominal aortic aneurysm
Aortic aneurysm,G713000,63920,Ruptured suprarenal aortic aneurysm
Aortic aneurysm,G714.00,1867,Abdominal aortic aneurysm without mention of rupture
Aortic aneurysm,G714.11,17345,AAA - Abdominal aortic aneurysm without mention of rupture
Aortic aneurysm,G714000,45521,Juxtarenal aortic aneurysm
Aortic aneurysm,G714100,28109,Inflammatory abdominal aortic aneurysm
Aortic aneurysm,G714200,101379,Infrarenal abdominal aortic aneurysm
Aortic aneurysm,G714300,101195,Aneurysm of suprarenal aorta
Aortic aneurysm,G715.00,15304,Ruptured aortic aneurysm NOS
Aortic aneurysm,G715000,11430,"Thoracoabdominal aortic aneurysm, ruptured"
Aortic aneurysm,G716.00,16034,Aortic aneurysm without mention of rupture NOS
Aortic aneurysm,G716000,40787,"Thoracoabdominal aortic aneurysm, without mention of rupture"
Aortic aneurysm,G717.00,70260,Aortic aneurysm - syphilitic
Aortic aneurysm,G718.00,9759,Leaking abdominal aortic aneurysm
Aortic aneurysm,G71z.00,6872,Aortic aneurysm NOS
Aortic aneurysm,Gyu7100,102725,"[X]Aortic aneurysm of unspecified site, ruptured"
Aortic aneurysm,Gyu7200,102719,"[X]Aortic aneurysm of unspecified site, nonruptured"
Aortic aneurysm,Gyu7800,105621,[X]Aneurysm of aorta in diseases classified elsewhere
