Condition,ReadCode,MedCode,ReadTerm
Cardiomyopathy other,C373300,56635,Familial cardiac amyloid
Cardiomyopathy other,C373G00,105398,Senile cardiac amyloidosis
Cardiomyopathy other,F391B00,44272,Cardiomyopathy in Duchenne muscular dystrophy
Cardiomyopathy other,G343.00,7320,Ischaemic cardiomyopathy
Cardiomyopathy other,G55..00,3204,Cardiomyopathy
Cardiomyopathy other,G550.00,15990,Endomyocardial fibrosis
Cardiomyopathy other,G552.00,68685,Obscure African cardiomyopathy
Cardiomyopathy other,G554.00,57306,Other primary cardiomyopathies
Cardiomyopathy other,G554000,5141,Congestive cardiomyopathy
Cardiomyopathy other,G554100,41488,Constrictive cardiomyopathy
Cardiomyopathy other,G554200,21852,Familial cardiomyopathy
Cardiomyopathy other,G554400,7535,Primary dilated cardiomyopathy
Cardiomyopathy other,G554500,101015,Takotsubo cardiomyopathy
Cardiomyopathy other,G554511,104658,Stress cardiomyopathy
Cardiomyopathy other,G554z00,40834,Other primary cardiomyopathy NOS
Cardiomyopathy other,G555.00,4915,Alcoholic cardiomyopathy
Cardiomyopathy other,G556.00,114348,Cardiomyopathy in Chagas's disease
Cardiomyopathy other,G557.00,100966,Nutritional and metabolic cardiomyopathies
Cardiomyopathy other,G557000,30667,Amyloid heart disease
Cardiomyopathy other,G557011,105798,Cardiac amyloidosis
Cardiomyopathy other,G557100,49844,Beriberi heart disease
Cardiomyopathy other,G557500,20035,Thyrotoxic heart disease
Cardiomyopathy other,G557z00,64673,Nutritional and metabolic cardiomyopathy NOS
Cardiomyopathy other,G558.00,55850,Cardiomyopathy in disease EC
Cardiomyopathy other,G558000,70855,Cardiomyopathy in Friedreich's ataxia
Cardiomyopathy other,G558100,27683,Cardiomyopathy in myotonic dystrophy
Cardiomyopathy other,G558200,64837,Dystrophic cardiomyopathy
Cardiomyopathy other,G558400,105651,Amyloid cardiomyopathy
Cardiomyopathy other,G558z00,98020,"Cardiomyopathy in diseases EC, NOS"
Cardiomyopathy other,G559.00,97780,Arrhythmogenic right ventricular cardiomyopathy
Cardiomyopathy other,G55A.00,102955,Tachycardiomyopathy
Cardiomyopathy other,G55A.11,104529,Tachycardia-induced cardiomyopathy
Cardiomyopathy other,G55y.00,42043,Secondary cardiomyopathy NOS
Cardiomyopathy other,G55y.11,9402,Secondary dilated cardiomyopathy
Cardiomyopathy other,G55y000,58938,Cardiomyopathy due to drugs and other external agents
Cardiomyopathy other,G55z.00,22993,Cardiomyopathy NOS
Cardiomyopathy other,Gyu5N00,92266,[X]Other restrictive cardiomyopathy
Cardiomyopathy other,Gyu5P00,97617,[X]Other cardiomyopathies
Cardiomyopathy other,Gyu5R00,98634,[X]Cardiomyopathy in metabolic diseases CE
