Condition,ReadCode,MedCode,ReadTerm
Cerebral Palsy,38Gw.00,107844,Gross Motor Function Classification System Cerebral Palsy
Cerebral Palsy,F137.11,73943,Athetoid cerebral palsy
Cerebral Palsy,F137.12,42406,Athetosis - congenital
Cerebral Palsy,F137000,16977,Athetoid cerebral palsy
Cerebral Palsy,F137011,64561,Vogt's disease
Cerebral Palsy,F137100,92598,Double athetosis
Cerebral Palsy,F137111,66314,Congenital athetosis
Cerebral Palsy,F23..00,2069,Congenital cerebral palsy
Cerebral Palsy,F23..11,15530,Congenital spastic cerebral palsy
Cerebral Palsy,F23..12,5560,Infantile cerebral palsy
Cerebral Palsy,F23..13,39971,Littles disease
Cerebral Palsy,F23..14,61219,Cerebral atonia
Cerebral Palsy,F230.00,25324,Congenital diplegia
Cerebral Palsy,F230.11,99040,Paraplegia - congenital
Cerebral Palsy,F230000,37160,Congenital paraplegia
Cerebral Palsy,F230100,5512,Cerebral palsy with spastic diplegia
Cerebral Palsy,F230111,104775,Spastic diplegic cerebral palsy
Cerebral Palsy,F230z00,45551,Congenital diplegia NOS
Cerebral Palsy,F231.00,27966,Congenital hemiplegia
Cerebral Palsy,F232.00,21249,Congenital quadriplegia
Cerebral Palsy,F232.11,48126,Tetraplegia - congenital
Cerebral Palsy,F233.00,33925,Congenital monoplegia
Cerebral Palsy,F233.11,55593,Congenital spastic foot
Cerebral Palsy,F234.00,2019,Infantile hemiplegia NOS
Cerebral Palsy,F23y.00,53178,Other congenital cerebral palsy
Cerebral Palsy,F23y000,21548,Ataxic infantile cerebral palsy
Cerebral Palsy,F23y100,104828,Flaccid infantile cerebral palsy
Cerebral Palsy,F23y200,25570,Spastic cerebral palsy
Cerebral Palsy,F23y300,49967,Dyskinetic cerebral palsy
Cerebral Palsy,F23y400,52659,Ataxic diplegic cerebral palsy
Cerebral Palsy,F23y500,95132,Worster-Drought syndrome
Cerebral Palsy,F23y511,100627,Congenital suprabulbar paresis
Cerebral Palsy,F23y600,107551,Choreoathetoid cerebral palsy
Cerebral Palsy,F23yz00,12666,Other infantile cerebral palsy NOS
Cerebral Palsy,F23z.00,28306,Congenital cerebral palsy NOS
Cerebral Palsy,F2B..00,104498,Cerebral palsy
Cerebral Palsy,F2B0.00,104580,Spastic quadriplegic cerebral palsy
Cerebral Palsy,F2B1.00,105133,Spastic hemiplegic cerebral palsy
Cerebral Palsy,F2By.00,104782,Other cerebral palsy
Cerebral Palsy,F2Bz.00,104654,Cerebral palsy NOS
Cerebral Palsy,Fyu9.00,53755,[X]Cerebral palsy and other paralytic syndromes
Cerebral Palsy,Fyu9000,90520,[X]Other infantile cerebral palsy
Cerebral Palsy,G669.00,16956,"Cerebral palsy, not congenital or infantile, acute"
