Condition,ReadCode,MedCode,ReadTerm
Cerebrovascular disease,14A7.00,34135,H/O: CVA/stroke
Cerebrovascular disease,14A7.11,6305,H/O: CVA
Cerebrovascular disease,14A7.12,5871,H/O: stroke
Cerebrovascular disease,14AB.00,13567,H/O: TIA
Cerebrovascular disease,14AB000,105202,H/O amaurosis fugax
Cerebrovascular disease,14AK.00,66873,H/O: Stroke in last year
Cerebrovascular disease,1B1S.00,28278,Transient global amnesia
Cerebrovascular disease,1M4..00,100639,Central post-stroke pain
Cerebrovascular disease,661M700,107195,Stroke self-management plan agreed
Cerebrovascular disease,661N700,109743,Stroke self-management plan review
Cerebrovascular disease,662e.00,18686,Stroke/CVA annual review
Cerebrovascular disease,662e.11,107886,Stroke annual review
Cerebrovascular disease,662M.00,10792,Stroke monitoring
Cerebrovascular disease,662M100,105100,Stroke 6 month review
Cerebrovascular disease,662M200,104505,Stroke initial post discharge review
Cerebrovascular disease,7P24200,55351,Delivery of rehabilitation for stroke
Cerebrovascular disease,8CRB.00,100015,Transient ischaemic attack clinical management plan
Cerebrovascular disease,8HHM.00,56458,Ref to multidisciplinary stroke function improvement service
Cerebrovascular disease,8IEC.00,104638,Ref multidisciplinary stroke function improvement declined
Cerebrovascular disease,9h2..00,10962,Exception reporting: stroke quality indicators
Cerebrovascular disease,9h21.00,11039,Excepted from stroke quality indicators: Patient unsuitable
Cerebrovascular disease,9h22.00,11074,Excepted from stroke quality indicators: Informed dissent
Cerebrovascular disease,F423600,1195,Amaurosis fugax
Cerebrovascular disease,Fyu5500,63746,[X]Other transnt cerebral ischaemic attacks+related syndroms
Cerebrovascular disease,Fyu5600,93459,[X]Other lacunar syndromes
Cerebrovascular disease,G63..11,57495,Infarction - precerebral
Cerebrovascular disease,G63y000,23671,Cerebral infarct due to thrombosis of precerebral arteries
Cerebrovascular disease,G63y100,24446,Cerebral infarction due to embolism of precerebral arteries
Cerebrovascular disease,G64..00,8837,Cerebral arterial occlusion
Cerebrovascular disease,G64..11,5363,CVA - cerebral artery occlusion
Cerebrovascular disease,G64..12,569,Infarction - cerebral
