Condition,ReadCode,MedCode,ReadTerm
Cholelithiasis,14CE.00,12140,H/O: gall stones
Cholelithiasis,1965.00,930,Biliary colic
Cholelithiasis,1965.11,7306,Biliary colic symptom
Cholelithiasis,4775.00,94302,Faeces: gall stones present
Cholelithiasis,4G2..00,4429,O/E: gall stone
Cholelithiasis,4G21.00,61996,O/E: cholesterol gall stone
Cholelithiasis,4G22.00,45836,O/E: pigment gall stone
Cholelithiasis,4G2Z.00,42694,O/E: gall stone NOS
Cholelithiasis,7648700,17959,Enterotomy and removal of gallstone
Cholelithiasis,8CMWD00,109379,On gallstone care pathway
Cholelithiasis,J503000,29663,Gallstone ileus
Cholelithiasis,J64..00,3599,Cholelithiasis
Cholelithiasis,J64..11,29142,Bile duct calculus
Cholelithiasis,J64..12,40075,Calculus - biliary
Cholelithiasis,J64..13,35469,Cystic duct calculus
Cholelithiasis,J64..14,8620,Gallbladder calculus
Cholelithiasis,J64..15,760,Gallstones
Cholelithiasis,J64..16,17323,Stone - biliary
Cholelithiasis,J640.00,35046,Gallbladder calculus with acute cholecystitis
Cholelithiasis,J640000,63208,Gallbladder calculus with acute cholecystitis +no obstruct
Cholelithiasis,J640100,48587,Gallbladder calculus with acute cholecystitis + obstruction
Cholelithiasis,J640z00,64132,Gallbladder calculus with acute cholecystitis - obst NOS
Cholelithiasis,J641.00,49106,Gallbladder calculus with other cholecystitis
Cholelithiasis,J641000,49202,Gallbladder calculus with other cholecystitis +no obstruct
Cholelithiasis,J641100,47536,Gallbladder calculus with other cholecystitis + obstruct
Cholelithiasis,J641z00,71134,Gallbladder calculus with other cholecystitis - obstruct NOS
Cholelithiasis,J642.00,12438,Gallbladder calculus without mention of cholecystitis
Cholelithiasis,J642.11,4416,Gallbladder calculus without mention of cholecystitis
Cholelithiasis,J642000,54853,Gallbladder calculus without mention cholecystitis +no obstr
Cholelithiasis,J642100,61367,Gallbladder calculus without mention cholecystitis + obstruc
Cholelithiasis,J642200,6285,Biliary colic
Cholelithiasis,J642z00,15602,Gallbladder calculus without cholecystitis and obstruct NOS
Cholelithiasis,J643.00,34683,Bile duct calculus with acute cholecystitis
Cholelithiasis,J643000,39025,Bile duct calculus + acute cholecystitis and no obstruction
Cholelithiasis,J643100,31650,Bile duct calculus + acute cholecystitis and obstruction
Cholelithiasis,J643z00,96679,Bile duct calculus + acute cholecystitis - obstruct NOS
Cholelithiasis,J644.00,26889,Bile duct calculus with other cholecystitis
Cholelithiasis,J644000,107004,Bile duct calculus + other cholecystitis and no obstruction
Cholelithiasis,J644100,44649,Bile duct calculus + other cholecystitis and obstruction
Cholelithiasis,J644z00,61298,Bile duct calculus + other cholecystitis - obstruction NOS
Cholelithiasis,J645.00,22697,Bile duct calculus without mention of cholecystitis
Cholelithiasis,J645.11,15181,Choledocholithiasis
Cholelithiasis,J645000,66713,"Bile duct calculus without cholecystitis, no obstruction"
Cholelithiasis,J645100,36879,Bile duct calculus without cholecystitis with obstruction
Cholelithiasis,J645200,8723,Bile duct calculus NOS
Cholelithiasis,J645z00,69721,Bile duct calculus without cholecystitis NOS
Cholelithiasis,J646.00,24866,Calculus of bile duct with cholangitis
Cholelithiasis,J64z.00,27437,Cholelithiasis NOS
Cholelithiasis,J64z000,47888,Cholelithiasis without obstruction NOS
Cholelithiasis,J64z100,62988,Cholelithiasis with obstruction NOS
Cholelithiasis,J64zz00,34063,Cholelithiasis NOS
Cholelithiasis,J670500,12316,Gallstone acute pancreatitis
Cholelithiasis,J671100,42278,Gallstone chronic pancreatitis
Cholelithiasis,Jyu8000,96795,[X]Other cholelithiasis
