Condition,ReadCode,MedCode,ReadTerm
Crohn's disease,J08z900,29616,Orofacial Crohn's disease
Crohn's disease,J40..00,11286,Regional enteritis - Crohn's disease
Crohn's disease,J40..11,593,Crohn's disease
Crohn's disease,J40..12,51578,Granulomatous enteritis
Crohn's disease,J400.00,51576,Regional enteritis of the small bowel
Crohn's disease,J400000,71945,Regional enteritis of the duodenum
Crohn's disease,J400100,63036,Regional enteritis of the jejunum
Crohn's disease,J400200,28476,Crohn's disease of the terminal ileum
Crohn's disease,J400300,66238,Crohn's disease of the ileum unspecified
Crohn's disease,J400400,39278,Crohn's disease of the ileum NOS
Crohn's disease,J400500,36913,Exacerbation of Crohn's disease of small intestine
Crohn's disease,J400z00,9359,Crohn's disease of the small bowel NOS
Crohn's disease,J401.00,44426,Regional enteritis of the large bowel
Crohn's disease,J401000,62628,Regional enteritis of the colon
Crohn's disease,J401100,64773,Regional enteritis of the rectum
Crohn's disease,J401200,39037,Exacerbation of Crohn's disease of large intestine
Crohn's disease,J401z00,20688,Crohn's disease of the large bowel NOS
Crohn's disease,J401z11,6538,Crohn's colitis
Crohn's disease,J402.00,15773,Regional ileocolitis
Crohn's disease,J40z.00,52449,Regional enteritis NOS
Crohn's disease,J40z.11,59994,Crohn's disease NOS
Crohn's disease,Jyu4000,69959,[X]Other Crohn's disease
Crohn's disease,N031100,20480,Arthropathy in Crohn's disease
Crohn's disease,N045300,12575,Juvenile arthritis in Crohn's disease
Crohn's disease,ZR3S.00,11337,Crohn's disease activity index
Crohn's disease,ZR3S.11,11119,CDAI - Crohn's disease activity index
