Condition,ReadCode,MedCode,ReadTerm
Diverticular disease of intestine,7718000,34164,Excision of diverticulum of colon
Diverticular disease of intestine,J23z300,68959,Appendicular diverticulum
Diverticular disease of intestine,J51..00,8322,Diverticula of intestine
Diverticular disease of intestine,J51..11,5857,Diverticular disease
Diverticular disease of intestine,J510.00,3593,Diverticulosis
Diverticular disease of intestine,J510000,3538,Diverticulosis of the duodenum
Diverticular disease of intestine,J510100,27444,Diverticulosis of the jejunum
Diverticular disease of intestine,J510200,44647,Diverticulosis of the ileum
Diverticular disease of intestine,J510300,47924,Diverticulosis of the small intestine unspecified
Diverticular disease of intestine,J510400,73334,Diverticulosis of the small intestine NOS
Diverticular disease of intestine,J510500,1101,Diverticulosis of the colon
Diverticular disease of intestine,J510600,53092,Diverticulosis of the large intestine unspecified
Diverticular disease of intestine,J510700,2536,Diverticulosis of the large intestine NOS
Diverticular disease of intestine,J510800,17105,Divertic dis/both sml+lge intestin without perfor or abscess
Diverticular disease of intestine,J510900,2044,Bleeding diverticulosis
Diverticular disease of intestine,J510y00,49084,Diverticulosis unspecified
Diverticular disease of intestine,J510z00,7662,Diverticulosis NOS
Diverticular disease of intestine,J511.00,347,Diverticulitis
Diverticular disease of intestine,J511000,12345,Diverticulitis of the duodenum
Diverticular disease of intestine,J511100,61722,Diverticulitis of the jejunum
Diverticular disease of intestine,J511200,61664,Diverticulitis of the ileum
Diverticular disease of intestine,J511300,31365,Diverticulitis of the small intestine unspecified
Diverticular disease of intestine,J511400,72590,Diverticulitis of the small intestine NOS
Diverticular disease of intestine,J511500,10483,Diverticulitis of the colon
Diverticular disease of intestine,J511600,51511,Diverticulitis of the large intestine unspecified
Diverticular disease of intestine,J511700,62979,Diverticulitis of the large intestine NOS
Diverticular disease of intestine,J511y00,19935,Diverticulitis unspecified
Diverticular disease of intestine,J511z00,10437,Diverticulitis NOS
Diverticular disease of intestine,J512.00,14942,Perforated diverticulum
Diverticular disease of intestine,J512000,37588,Perforated diverticulum of duodenum
Diverticular disease of intestine,J512100,48173,Perforated diverticulum of jejunum
Diverticular disease of intestine,J512200,42866,Perforated diverticulum of ileum
Diverticular disease of intestine,J512300,71130,Perforated diverticulum of small intestine unspecified
Diverticular disease of intestine,J512400,106340,Perforated diverticulum of small intestine NOS
Diverticular disease of intestine,J512500,37813,Perforated diverticulum of colon
Diverticular disease of intestine,J512600,48589,Perforated diverticulum of large intestine unspecified
Diverticular disease of intestine,J512700,50313,Perforated diverticulum of large intestine NOS
Diverticular disease of intestine,J512800,38941,Divertic disease/both sml+lge intestin with perforat+abscess
Diverticular disease of intestine,J512y00,49066,Perforated diverticulum unspecified
Diverticular disease of intestine,J512z00,69918,Perforated diverticulum of intestine NOS
Diverticular disease of intestine,J513.00,5686,Diverticular abscess
Diverticular disease of intestine,J51z.00,9511,Diverticula of the intestine NOS
