Condition,ReadCode,MedCode,ReadTerm
Dysmenorrhoea,1574.00,6383,H/O: dysmenorrhoea
Dysmenorrhoea,1574.11,7759,H/O: painful periods
Dysmenorrhoea,Eu45y11,46925,[X]Psychogenic dysmenorrhoea
Dysmenorrhoea,K583.00,693,Dysmenorrhoea
Dysmenorrhoea,K583.11,3266,Painful menorrhoea
Dysmenorrhoea,K583.12,7938,Painful menstruation
Dysmenorrhoea,K583.13,1666,Period pains
Dysmenorrhoea,K583.14,24183,Spasmodic dysmenorrhoea
Dysmenorrhoea,K583000,9869,Primary dysmenorrhoea
Dysmenorrhoea,K583100,11467,Secondary dysmenorrhoea
