Condition,ReadCode,MedCode,ReadTerm
Endometriosis,7E0D800,12175,Laparoscopic laser destruction of endometriosis
Endometriosis,BBL1.11,56751,[M]Stromal endometriosis
Endometriosis,K50..00,499,Endometriosis
Endometriosis,K50..11,3432,Adenomyosis
Endometriosis,K500.00,41735,Endometriosis of uterus
Endometriosis,K500000,19266,Internal endometriosis
Endometriosis,K500100,61192,Endometriosis of myometrium
Endometriosis,K500111,22007,Adenomyosis of endometrium
Endometriosis,K500200,36805,Endometriosis of cervix
Endometriosis,K500z00,42092,Endometriosis of uterus NOS
Endometriosis,K501.00,19682,Endometriosis of ovary
Endometriosis,K501.11,16143,Chocolate cyst of ovary
Endometriosis,K502.00,30091,Endometriosis of the fallopian tube
Endometriosis,K503.00,22662,Endometriosis of the pelvic peritoneum
Endometriosis,K503000,67137,Endometriosis of the broad ligament
Endometriosis,K503100,50464,Endometriosis of the pouch of Douglas
Endometriosis,K503200,63232,Endometriosis of the parametrium
Endometriosis,K503300,50544,Endometriosis of the round ligament
Endometriosis,K503z00,42424,Endometriosis of the pelvic peritoneum NOS
Endometriosis,K504.00,70854,Endometriosis of the rectovaginal septum and vagina
Endometriosis,K504000,50518,Endometriosis of the rectovaginal septum
Endometriosis,K504100,37392,Endometriosis of the vagina
Endometriosis,K504z00,94268,Endometriosis of the rectovaginal septum and vagina NOS
Endometriosis,K505.00,20194,Endometriosis of the intestine
Endometriosis,K505000,71993,Endometriosis of the appendix
Endometriosis,K505100,62982,Endometriosis of the colon
Endometriosis,K505200,60784,Endometriosis of the rectum
Endometriosis,K505z00,97045,Endometriosis of the intestine NOS
Endometriosis,K506.00,60097,Endometriosis in scar of skin
Endometriosis,K50y.00,49603,Other endometriosis
Endometriosis,K50y000,36930,Endometriosis of the bladder
Endometriosis,K50y100,69931,Endometriosis of the lung
Endometriosis,K50y200,48222,Endometriosis of the umbilicus
Endometriosis,K50y300,68037,Endometriosis of the vulva
Endometriosis,K50yz00,66361,Other endometriosis NOS
Endometriosis,K50z.00,9492,Endometriosis NOS
Endometriosis,Kyu9000,63749,[X]Other endometriosis
