Condition,ReadCode,MedCode,ReadTerm
"Folate deficiency, with and without anaemia",42U2.00,15898,Serum folate low
"Folate deficiency, with and without anaemia",42U8.00,54470,RBC folate low
"Folate deficiency, with and without anaemia",42UB.00,44125,Whole blood folate low
"Folate deficiency, with and without anaemia",C262000,4078,Folic acid deficiency
"Folate deficiency, with and without anaemia",D012.00,4080,Folate-deficiency anaemia
"Folate deficiency, with and without anaemia",D012.11,24870,Folic acid deficiency anaemia
"Folate deficiency, with and without anaemia",D012000,113007,Congenital folate malabsorption anaemia
"Folate deficiency, with and without anaemia",D012100,36634,Folate-deficiency anaemia due to dietary causes
"Folate deficiency, with and without anaemia",D012111,98709,Goat's milk anaemia
"Folate deficiency, with and without anaemia",D012200,37082,"Folate-deficiency anaemia, drug induced"
"Folate deficiency, with and without anaemia",D012300,55481,Folate-deficiency anaemia due to malabsorption
"Folate deficiency, with and without anaemia",D012400,56114,Folate-deficiency anaemia due to liver disorders
"Folate deficiency, with and without anaemia",D012z00,42117,Folate-deficiency anaemia NOS
"Folate deficiency, with and without anaemia",D013000,22715,Combined B12 and folate deficiency anaemia
"Folate deficiency, with and without anaemia",Dyu0300,53783,[X]Other folate deficiency anaemias
