Condition,ReadCode,MedCode,ReadTerm
Immunodeficiencies,C390.00,44147,Deficiencies of humoral immunity
Immunodeficiencies,C390.11,35682,Agammaglobulinaemia
Immunodeficiencies,C390000,15137,Hypogammaglobulinaemia NOS
Immunodeficiencies,C390100,8548,Selective IgA immunodeficiency
Immunodeficiencies,C390200,18701,Selective IgM immunodeficiency
Immunodeficiencies,C390300,18700,Selective IgG immunodeficiency
Immunodeficiencies,C390400,68440,Other selective immunoglobulin deficiency
Immunodeficiencies,C390500,57161,Congenital hypogammaglobulinaemia
Immunodeficiencies,C390511,65603,Bruton's agammaglobulinaemia
Immunodeficiencies,C390512,60880,Congenital X-linked agammaglobulinaemia
Immunodeficiencies,C390600,69373,Immunodeficiency with IgM hypergammaglobulinaemia
Immunodeficiencies,C390700,57322,Common variable immunodeficiency
Immunodeficiencies,C390800,92569,Transient infant hypogammaglobulinaemia
Immunodeficiencies,C390900,62598,Agammaglobulinaemia NEC
Immunodeficiencies,C390A00,69184,Dysimmunoglobulinaemia NEC
Immunodeficiencies,C390A11,43653,Dysgammaglobulinaemia NEC
Immunodeficiencies,C390B00,60026,Antibod def wth nr-norm imunoglob/or wth hyperimunoglobaemia
Immunodeficiencies,C390y00,69854,Other specified deficiency of humoral immunity
Immunodeficiencies,C390z00,16295,Deficiency of humoral immunity NOS
Immunodeficiencies,C391.00,48307,Deficiencies of cell-mediated immunity
Immunodeficiencies,C391000,50665,Predominantly T-cell immuno-deficiency NOS
Immunodeficiencies,C391011,48035,T-lymphocyte deficiency
Immunodeficiencies,C391012,60758,Cellular immunity syndrome
Immunodeficiencies,C391100,10955,Di George syndrome
Immunodeficiencies,C391200,31322,Wiskott - Aldrich syndrome
Immunodeficiencies,C391211,42439,Thrombocytopenic eczema with immunodeficiency
Immunodeficiencies,C392.00,62236,Combined immunity deficiency
Immunodeficiencies,C392100,48293,Severe combined immunodeficiency
Immunodeficiencies,C392111,94120,Swiss type agammaglobulinaemia
Immunodeficiencies,C392200,114473,Thymic aplasia or dysplasia with immunodeficiency
Immunodeficiencies,C392300,31541,Severe combined immunodefiency with reticular dysgenesis
Immunodeficiencies,C392400,66073,Severe combined immunodef with low T- and B-cell numbers
Immunodeficiencies,C392500,49542,Severe combined immunodef with low or normal B-cell numbers
Immunodeficiencies,C392600,72804,Adenosine deaminase deficiency
Immunodeficiencies,C392700,93936,Purine nucleoside phosphorylase deficiency
Immunodeficiencies,C392800,50526,Major histocompatibility complex class I deficiency
Immunodeficiencies,C392900,103977,Major histocompatibility complex class II deficiency
Immunodeficiencies,C392z00,62328,Combined immunity deficiency NOS
Immunodeficiencies,C393.00,3129,Unspecified immunity deficiency
Immunodeficiencies,C395.00,65617,Immunodeficiency with short-limbed stature
Immunodeficiencies,C396.00,56108,Immunodef follow hereditary defect respon Epstein-Barr vir
Immunodeficiencies,C397.00,54203,Hyperimmunoglobulin E syndrome
Immunodeficiencies,C398.00,21975,Common variable immunodeficiency
Immunodeficiencies,C398000,93892,Com var immunodef with predom abn B-cell numbers and functns
Immunodeficiencies,C398200,66857,Common variable immunodef wth autoantibod to B- or T-cells
Immunodeficiencies,C39X.00,39800,"Immunodeficiency associated+major defect, unspecified"
Immunodeficiencies,C39y000,54904,Lymphocyte function antigen-1 defect
Immunodeficiencies,Cyu0000,106788,[X]Other immunodeficiencies+predominantly antibody defects
Immunodeficiencies,Cyu0100,112962,[X]Other combined immunodeficiency disorders
Immunodeficiencies,Cyu0400,73131,[X]Other common variable immunodeficiencies
Immunodeficiencies,Cyu0500,66386,[X]Other specified immunodeficiency disorders
