Condition,ReadCode,MedCode,ReadTerm
"Non-malignant tumour of brain, central nervous system and pituitary",710..00,39009,Pituitary gland and pineal gland operations
"Non-malignant tumour of brain, central nervous system and pituitary",710..12,8551,Pituitary gland operations
"Non-malignant tumour of brain, central nervous system and pituitary",7100y00,53569,Other specified excision of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7100z00,49056,Excision of pituitary gland NOS
"Non-malignant tumour of brain, central nervous system and pituitary",7101000,72267,Cryotherapy to pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7101100,40070,Implantation of radioactive substance into pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7102.00,52399,Other operations on pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7102000,34261,Excision of lesion of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7102200,50514,Decompression of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7102300,68461,Exploration of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7102y00,58596,Other specified other operation on pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",7102z00,4365,Other operation on pituitary gland NOS
"Non-malignant tumour of brain, central nervous system and pituitary",710y.00,93883,Pituitary gland or pineal gland operations OS
"Non-malignant tumour of brain, central nervous system and pituitary",710z.00,93629,Pituitary gland and pineal gland operations NOS
"Non-malignant tumour of brain, central nervous system and pituitary",B7F..00,27289,Benign neoplasm of brain and other parts of nervous system
"Non-malignant tumour of brain, central nervous system and pituitary",B7F0.00,11678,Benign neoplasm of brain
"Non-malignant tumour of brain, central nervous system and pituitary",B7F0.11,31189,Cerebral tumour - benign
"Non-malignant tumour of brain, central nervous system and pituitary",B7F0000,55419,"Benign neoplasm of brain, supratentorial"
"Non-malignant tumour of brain, central nervous system and pituitary",B7F1.00,44776,Benign neoplasm of cranial nerves
"Non-malignant tumour of brain, central nervous system and pituitary",B7F1000,6174,Acoustic neuroma
"Non-malignant tumour of brain, central nervous system and pituitary",B7F2.00,18200,Benign neoplasm of cerebral meninges
"Non-malignant tumour of brain, central nervous system and pituitary",B7F2000,8672,Cerebral meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",B7F2z00,65069,Benign neoplasm of cerebral meninges NOS
"Non-malignant tumour of brain, central nervous system and pituitary",B7F3.00,31391,Benign neoplasm of spinal cord
"Non-malignant tumour of brain, central nervous system and pituitary",B7F4.00,35095,Benign neoplasm of spinal meninges
"Non-malignant tumour of brain, central nervous system and pituitary",B7F4000,9544,Spinal meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",B7F4z00,94426,Benign neoplasm of spinal meninges NOS
"Non-malignant tumour of brain, central nervous system and pituitary",B7FX.00,37637,"Benign neoplasm of meninges, unspecified"
"Non-malignant tumour of brain, central nervous system and pituitary",B7Fz.00,60341,Benign neoplasm of brain or other nervous system NOS
"Non-malignant tumour of brain, central nervous system and pituitary",B7H2.00,5706,Benign neoplasm of pituitary gland and craniopharyngeal duct
"Non-malignant tumour of brain, central nervous system and pituitary",B7H2.11,2321,Pituitary adenoma
"Non-malignant tumour of brain, central nervous system and pituitary",B7H2000,20267,Benign neoplasm of pituitary gland
"Non-malignant tumour of brain, central nervous system and pituitary",B7H2100,46829,Benign neoplasm of Rathke's pouch
"Non-malignant tumour of brain, central nervous system and pituitary",B7H2200,15635,Benign neoplasm of sella turcica
"Non-malignant tumour of brain, central nervous system and pituitary",B7H2300,55379,Benign neoplasm of craniopharyngeal duct
"Non-malignant tumour of brain, central nervous system and pituitary",B7H2z00,71886,Benign neoplasm of pituitary and craniopharyngeal duct NOS
"Non-malignant tumour of brain, central nervous system and pituitary",B7H3.00,50466,Benign neoplasm of pineal gland
"Non-malignant tumour of brain, central nervous system and pituitary",B7H4.00,39432,Benign neoplasm of carotid body
"Non-malignant tumour of brain, central nervous system and pituitary",B7H5.00,64587,Benign neoplasm of aortic body and other paraganglia
"Non-malignant tumour of brain, central nervous system and pituitary",B7H5000,58575,Benign neoplasm of glomus jugulare
"Non-malignant tumour of brain, central nervous system and pituitary",B7H5100,37162,Benign neoplasm of aortic body
"Non-malignant tumour of brain, central nervous system and pituitary",B7H5200,53562,Benign neoplasm of coccygeal body
"Non-malignant tumour of brain, central nervous system and pituitary",B7H5z00,73669,Benign neoplasm of aortic body and other paraganglia NOS
"Non-malignant tumour of brain, central nervous system and pituitary",B920z00,94371,Neop uncertain behaviour pituitary and craniopharyngeal NOS
"Non-malignant tumour of brain, central nervous system and pituitary",BB5V.00,26120,[M]Pituitary adenomas and carcinomas
"Non-malignant tumour of brain, central nervous system and pituitary",BB5Vz00,57422,[M]Pituitary adenoma or carcinoma NOS
"Non-malignant tumour of brain, central nervous system and pituitary",BBb5.00,26157,[M]Choroid plexus papilloma NOS
"Non-malignant tumour of brain, central nervous system and pituitary",BBd..00,2843,[M]Meningiomas
"Non-malignant tumour of brain, central nervous system and pituitary",BBd0.00,12096,[M]Meningioma NOS
"Non-malignant tumour of brain, central nervous system and pituitary",BBd3.00,65426,[M]Meningotheliomatous meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd3.11,96487,[M]Endotheliomatous meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd4.00,38295,[M]Fibrous meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd5.00,38870,[M]Psammomatous meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd6.00,46251,[M]Angiomatous meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd7.00,21598,[M]Haemangioblastic meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd7.11,46490,[M]Angioblastic meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd8.00,50822,[M]Haemangiopericytic meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBd9.00,67929,[M]Transitional meningioma
"Non-malignant tumour of brain, central nervous system and pituitary",BBdz.00,47848,[M]Meningioma NOS
"Non-malignant tumour of brain, central nervous system and pituitary",BBe5.11,21247,[M]Acoustic neuroma
"Non-malignant tumour of brain, central nervous system and pituitary",C133y00,69903,Other specified pituitary dwarfism
"Non-malignant tumour of brain, central nervous system and pituitary",C137z00,34459,Iatrogenic pituitary disorder NOS
"Non-malignant tumour of brain, central nervous system and pituitary",C13A.00,105321,Pituitary apoplexy
"Non-malignant tumour of brain, central nervous system and pituitary",C13z.00,12449,Pituitary disorders NOS
"Non-malignant tumour of brain, central nervous system and pituitary",C150200,53682,Pituitary dependent Cushing's syndrome
"Non-malignant tumour of brain, central nervous system and pituitary",PK24200,112638,Accessory pituitary gland
