Condition,ReadCode,MedCode,ReadTerm
Oesophagitis and oesophageal ulcer,AB20.00,15598,Candidiasis of mouth and oesophagus
Oesophagitis and oesophageal ulcer,AB20100,7677,Candidiasis of oesophagus
Oesophagitis and oesophageal ulcer,AB20z00,31163,Candidiasis of mouth and oesophagus NOS
Oesophagitis and oesophageal ulcer,AB2yz14,20654,Oesophageal candidiasis
Oesophagitis and oesophageal ulcer,J101.00,592,Oesophagitis
Oesophagitis and oesophageal ulcer,J101000,57039,Abscess of oesophagus
Oesophagitis and oesophageal ulcer,J101100,2535,Reflux oesophagitis
Oesophagitis and oesophageal ulcer,J101112,7104,Gastro-oesophageal reflux with oesophagitis
Oesophagitis and oesophageal ulcer,J101113,16605,Oesophageal reflux with oesophagitis
Oesophagitis and oesophageal ulcer,J101114,15579,Peptic oesophagitis
Oesophagitis and oesophageal ulcer,J101115,16450,Regurgitant oesophagitis
Oesophagitis and oesophageal ulcer,J101200,34836,Chemical oesophagitis
Oesophagitis and oesophageal ulcer,J101300,47694,Postoperative oesophagitis
Oesophagitis and oesophageal ulcer,J101400,98929,Gangrenous oesophagitis
Oesophagitis and oesophageal ulcer,J101500,39323,Phlegmonous oesophagitis
Oesophagitis and oesophageal ulcer,J101600,5283,Ulcerative oesophagitis
Oesophagitis and oesophageal ulcer,J101y00,35037,Other specified oesophagitis
Oesophagitis and oesophageal ulcer,J101z00,14760,Oesophagitis NOS
Oesophagitis and oesophageal ulcer,J102.00,2489,Ulcer of oesophagus
Oesophagitis and oesophageal ulcer,J102000,24021,Peptic ulcer of oesophagus
Oesophagitis and oesophageal ulcer,J102100,49926,Fungal ulcer of oesophagus
Oesophagitis and oesophageal ulcer,J102200,51013,Oesophageal ulcer due to aspirin
Oesophagitis and oesophageal ulcer,J102300,94752,Oesophageal ulcer due to chemicals
Oesophagitis and oesophageal ulcer,J102400,58603,Oesophageal ulcer due to medicines
Oesophagitis and oesophageal ulcer,J102z00,42150,Ulcer of oesophagus NOS
Oesophagitis and oesophageal ulcer,J10y300,10060,Oesophageal erosions
