Condition,ReadCode,MedCode,ReadTerm
Other haemolytic anaemias,1453.00,21335,H/O: haemolytic anaemia
Other haemolytic anaemias,D1...00,3326,Haemolytic anaemias
Other haemolytic anaemias,D10..00,39456,Hereditary haemolytic anaemias
Other haemolytic anaemias,D100.00,7237,Hereditary spherocytosis
Other haemolytic anaemias,D100.11,39682,Acholuric familial jaundice
Other haemolytic anaemias,D100.12,64619,Minkowski - Chauffard syndrome
Other haemolytic anaemias,D101.00,31107,Hereditary elliptocytosis
Other haemolytic anaemias,D101.11,49822,Ovalocytosis - hereditary
Other haemolytic anaemias,D102.00,71808,Haemolytic anaemia due to glutathione metabolism disorder
Other haemolytic anaemias,D102000,22531,Glucose-6-phosphate dehydrogenase deficiency anaemia
Other haemolytic anaemias,D102100,44381,Favism
Other haemolytic anaemias,D102200,49451,Drug-induced enzyme deficiency anaemia
Other haemolytic anaemias,D103000,107820,Haemolytic anaemia due to hexokinase deficiency
Other haemolytic anaemias,D103100,55561,Haemolytic anaemia due to pyruvate kinase deficiency
Other haemolytic anaemias,D103300,104454,Anaemia due to disorders of nucleotide metabolism
Other haemolytic anaemias,D103z00,110176,Enzyme deficiency haemolytic anaemia NOS
Other haemolytic anaemias,D107.00,1529,Other haemoglobinopathies
Other haemolytic anaemias,D107000,57298,Congenital Heinz-body anaemia
Other haemolytic anaemias,D107100,45944,Hereditary persistence of fetal haemoglobin [HPFH]
Other haemolytic anaemias,D107111,46322,Hb F disease
Other haemolytic anaemias,D107200,40545,Haemoglobin Bart's disease
Other haemolytic anaemias,D107300,31800,Haemoglobin-C disease
Other haemolytic anaemias,D107400,7624,Haemoglobin-D disease
Other haemolytic anaemias,D107500,32373,Haemoglobin-E disease
Other haemolytic anaemias,D107600,31662,Haemoglobin Zurich disease
Other haemolytic anaemias,D107700,7526,Haemoglobin-H disease
Other haemolytic anaemias,D107y00,45935,Other specified other haemoglobinopathy
Other haemolytic anaemias,D107z00,31462,Other haemoglobinopathy NOS
Other haemolytic anaemias,D10y.00,72721,Other specified hereditary haemolytic anaemias
Other haemolytic anaemias,D10y000,47598,Stomatocytosis
Other haemolytic anaemias,D10yz00,103151,Other specified hereditary haemolytic anaemia NOS
Other haemolytic anaemias,D10z.00,14698,Hereditary haemolytic anaemia NOS
Other haemolytic anaemias,D11..00,27771,Acquired haemolytic anaemias
Other haemolytic anaemias,D110.00,3818,Autoimmune haemolytic anaemias
Other haemolytic anaemias,D110.11,21369,Coombs positive haemolysis
Other haemolytic anaemias,D110000,39944,Primary cold-type haemolytic anaemia
Other haemolytic anaemias,D110100,49182,Primary warm-type haemolytic anaemia
Other haemolytic anaemias,D110200,57575,Secondary cold-type haemolytic anaemia
Other haemolytic anaemias,D110400,31734,Drug-induced autoimmune haemolytic anaemia
Other haemolytic anaemias,D110z00,39876,Autoimmune haemolytic anaemia NOS
Other haemolytic anaemias,D111.00,57897,Non-autoimmune haemolytic anaemia
Other haemolytic anaemias,D111000,43367,Mechanical haemolytic anaemia
Other haemolytic anaemias,D111100,38327,Microangiopathic haemolytic anaemia
Other haemolytic anaemias,D111300,29323,Haemolytic-uraemic syndrome
Other haemolytic anaemias,D111400,67088,Drug-induced haemolytic anaemia
Other haemolytic anaemias,D111500,63936,Infective haemolytic anaemia
Other haemolytic anaemias,D111y00,99308,Other specified non-autoimmune haemolytic anaemia
Other haemolytic anaemias,D111z00,94214,Non-autoimmune haemolytic anaemia NOS
Other haemolytic anaemias,D112.00,26437,Haemoglobinuria due to haemolysis from external causes
Other haemolytic anaemias,D112000,91034,Haemoglobinuria from exertion
Other haemolytic anaemias,D112011,5434,March haemoglobinuria
Other haemolytic anaemias,D112012,100022,Marchiafava - Micheli syndrome
Other haemolytic anaemias,D112100,35612,Paroxysmal nocturnal haemoglobinuria
Other haemolytic anaemias,D112200,28238,Paroxysmal cold haemoglobinuria
Other haemolytic anaemias,D112z00,52522,Haemoglobinuria due to haemolysis from external cause NOS
Other haemolytic anaemias,D112z11,48096,Cold haemoglobinuria
Other haemolytic anaemias,D112z12,50495,Acquired haemolytic anaemia with haemoglobinuria NEC
Other haemolytic anaemias,D112z13,61665,Paroxysmal haemoglobinuria NOS
Other haemolytic anaemias,D11z.00,15314,Acquired haemolytic anaemia NOS
Other haemolytic anaemias,D11z000,29933,Acquired spherocytosis
Other haemolytic anaemias,D11z100,64468,"Pyknocytosis, infantile"
Other haemolytic anaemias,D1y..00,39967,Other specified haemolytic anaemias
Other haemolytic anaemias,D1z..00,18631,Haemolytic anaemias NOS
Other haemolytic anaemias,Dyu1.00,99917,[X]Haemolytic anaemias
Other haemolytic anaemias,Dyu1300,87112,[X]Other haemoglobinopathies
Other haemolytic anaemias,Dyu1500,100388,[X]Other autoimmune haemolytic anaemias
Other haemolytic anaemias,Q430.00,70762,Perinatal jaundice from hereditary haemolytic anaemias
Other haemolytic anaemias,Q430000,39164,Neonatal jaundice + glucose-6-phosphate dehydrogenase defic.
Other haemolytic anaemias,Q430z00,103252,Perinatal jaundice from hereditary haemolytic anaemia NOS
