Condition,ReadCode,MedCode,ReadTerm
"Primary malignancy brain, other CNS and intracranial",B51..00,18617,Malignant neoplasm of brain
"Primary malignancy brain, other CNS and intracranial",B51..11,10851,Cerebral tumour - malignant
"Primary malignancy brain, other CNS and intracranial",B510.00,15711,Malignant neoplasm cerebrum (excluding lobes and ventricles)
"Primary malignancy brain, other CNS and intracranial",B510000,48073,Malignant neoplasm of basal ganglia
"Primary malignancy brain, other CNS and intracranial",B510100,61399,Malignant neoplasm of cerebral cortex
"Primary malignancy brain, other CNS and intracranial",B510300,99913,Malignant neoplasm of globus pallidus
"Primary malignancy brain, other CNS and intracranial",B510400,70942,Malignant neoplasm of hypothalamus
"Primary malignancy brain, other CNS and intracranial",B510500,62126,Malignant neoplasm of thalamus
"Primary malignancy brain, other CNS and intracranial",B510z00,54133,Malignant neoplasm of cerebrum NOS
"Primary malignancy brain, other CNS and intracranial",B511.00,42426,Malignant neoplasm of frontal lobe
"Primary malignancy brain, other CNS and intracranial",B512.00,46792,Malignant neoplasm of temporal lobe
"Primary malignancy brain, other CNS and intracranial",B512000,67236,Malignant neoplasm of hippocampus
"Primary malignancy brain, other CNS and intracranial",B512z00,47556,Malignant neoplasm of temporal lobe NOS
"Primary malignancy brain, other CNS and intracranial",B513.00,19226,Malignant neoplasm of parietal lobe
"Primary malignancy brain, other CNS and intracranial",B514.00,39088,Malignant neoplasm of occipital lobe
"Primary malignancy brain, other CNS and intracranial",B515.00,52511,Malignant neoplasm of cerebral ventricles
"Primary malignancy brain, other CNS and intracranial",B515000,46789,Malignant neoplasm of choroid plexus
"Primary malignancy brain, other CNS and intracranial",B516.00,45154,Malignant neoplasm of cerebellum
"Primary malignancy brain, other CNS and intracranial",B517.00,44089,Malignant neoplasm of brain stem
"Primary malignancy brain, other CNS and intracranial",B517000,64557,Malignant neoplasm of cerebral peduncle
"Primary malignancy brain, other CNS and intracranial",B517100,49132,Malignant neoplasm of medulla oblongata
"Primary malignancy brain, other CNS and intracranial",B517200,93537,Malignant neoplasm of midbrain
"Primary malignancy brain, other CNS and intracranial",B517300,91240,Malignant neoplasm of pons
"Primary malignancy brain, other CNS and intracranial",B517z00,68641,Malignant neoplasm of brain stem NOS
"Primary malignancy brain, other CNS and intracranial",B51y.00,71139,Malignant neoplasm of other parts of brain
"Primary malignancy brain, other CNS and intracranial",B51y000,59170,Malignant neoplasm of corpus callosum
"Primary malignancy brain, other CNS and intracranial",B51y200,65241,"Malignant neoplasm, overlapping lesion of brain"
"Primary malignancy brain, other CNS and intracranial",B51yz00,100733,Malignant neoplasm of other part of brain NOS
"Primary malignancy brain, other CNS and intracranial",B51z.00,41520,Malignant neoplasm of brain NOS
"Primary malignancy brain, other CNS and intracranial",B520.00,99621,Malignant neoplasm of cranial nerves
"Primary malignancy brain, other CNS and intracranial",B520000,64971,Malignant neoplasm of olfactory bulb
"Primary malignancy brain, other CNS and intracranial",B520100,70126,Malignant neoplasm of optic nerve
"Primary malignancy brain, other CNS and intracranial",B520200,65599,Malignant neoplasm of acoustic nerve
"Primary malignancy brain, other CNS and intracranial",B520z00,101086,Malignant neoplasm of cranial nerves NOS
"Primary malignancy brain, other CNS and intracranial",B521.00,28919,Malignant neoplasm of cerebral meninges
"Primary malignancy brain, other CNS and intracranial",B521200,109473,Malignant neoplasm of cerebral pia mater
"Primary malignancy brain, other CNS and intracranial",B521z00,70104,Malignant neoplasm of cerebral meninges NOS
"Primary malignancy brain, other CNS and intracranial",B522.00,51115,Malignant neoplasm of spinal cord
"Primary malignancy brain, other CNS and intracranial",B523.00,49714,Malignant neoplasm of spinal meninges
"Primary malignancy brain, other CNS and intracranial",B523z00,67211,Malignant neoplasm of spinal meninges NOS
"Primary malignancy brain, other CNS and intracranial",B525.00,9622,Malignant neoplasm of cauda equina
"Primary malignancy brain, other CNS and intracranial",B52W.00,53504,"Malig neopl, overlap lesion brain & other part of CNS"
"Primary malignancy brain, other CNS and intracranial",B52X.00,49875,"Malignant neoplasm of meninges, unspecified"
"Primary malignancy brain, other CNS and intracranial",B542.00,59823,Malignant neoplasm pituitary gland and craniopharyngeal duct
"Primary malignancy brain, other CNS and intracranial",B542000,8550,Malignant neoplasm of pituitary gland
"Primary malignancy brain, other CNS and intracranial",B542100,39899,Malignant neoplasm of craniopharyngeal duct
"Primary malignancy brain, other CNS and intracranial",B542z00,59718,Malig neop pituitary gland or craniopharyngeal duct NOS
"Primary malignancy brain, other CNS and intracranial",B543.00,42460,Malignant neoplasm of pineal gland
"Primary malignancy brain, other CNS and intracranial",B544.00,57047,Malignant neoplasm of carotid body
"Primary malignancy brain, other CNS and intracranial",B545.00,50035,Malignant neoplasm of aortic body and other paraganglia
"Primary malignancy brain, other CNS and intracranial",B545000,51795,Malignant neoplasm of glomus jugulare
"Primary malignancy brain, other CNS and intracranial",B545100,47840,Malignant neoplasm of aortic body
"Primary malignancy brain, other CNS and intracranial",B545200,46905,Malignant neoplasm of coccygeal body
"Primary malignancy brain, other CNS and intracranial",B545z00,103995,Malignant neoplasm of aortic body or paraganglia NOS
"Primary malignancy brain, other CNS and intracranial",B925.00,113137,Neoplasm of uncertain behaviour of brain and spinal cord
"Primary malignancy brain, other CNS and intracranial",B925000,24729,Neoplasm of uncertain behaviour of brain
"Primary malignancy brain, other CNS and intracranial",B925200,59141,"Neoplasm of uncertain or unknown behav brain, supratentorial"
"Primary malignancy brain, other CNS and intracranial",B925300,72503,"Neoplasm uncert / unkn behav brain, infratentorial"
"Primary malignancy brain, other CNS and intracranial",B925z00,103840,Neoplasm of uncertain behaviour of brain or spinal cord NOS
"Primary malignancy brain, other CNS and intracranial",BA06.00,1044,Neoplasm of unspecified nature of brain
"Primary malignancy brain, other CNS and intracranial",BBbB.00,8547,[M]Astrocytoma NOS
"Primary malignancy brain, other CNS and intracranial",BBbB.11,27748,[M]Astrocytic glioma
"Primary malignancy brain, other CNS and intracranial",BBbC.00,8328,"[M]Astrocytoma, anaplastic type"
"Primary malignancy brain, other CNS and intracranial",BBbE.00,45531,[M]Gemistocytic astrocytoma
"Primary malignancy brain, other CNS and intracranial",BBbF.00,27846,[M]Fibrillary astrocytoma
"Primary malignancy brain, other CNS and intracranial",BBbG.00,30273,[M]Pilocytic astrocytoma
"Primary malignancy brain, other CNS and intracranial",BBbG.11,61783,[M]Juvenile astrocytoma
"Primary malignancy brain, other CNS and intracranial",BBbG.12,98800,[M]Piloid astrocytoma
"Primary malignancy brain, other CNS and intracranial",BBbH.00,103047,[M]Spongioblastoma NOS
"Primary malignancy brain, other CNS and intracranial",BBbK.00,50235,[M]Astroblastoma
