Condition,ReadCode,MedCode,ReadTerm
Primary malignancy oro-pharyngeal,B0...00,19415,"Malignant neoplasm of lip, oral cavity and pharynx"
Primary malignancy oro-pharyngeal,B0...11,24374,"Carcinoma of lip, oral cavity and pharynx"
Primary malignancy oro-pharyngeal,B00..00,14712,Malignant neoplasm of lip
Primary malignancy oro-pharyngeal,B00..11,9984,Carcinoma of lip
Primary malignancy oro-pharyngeal,B000.00,73962,"Malignant neoplasm of upper lip, vermilion border"
Primary malignancy oro-pharyngeal,B000000,66270,"Malignant neoplasm of upper lip, external"
Primary malignancy oro-pharyngeal,B000100,50296,"Malignant neoplasm of upper lip, lipstick area"
Primary malignancy oro-pharyngeal,B000z00,98740,"Malignant neoplasm of upper lip, vermilion border NOS"
Primary malignancy oro-pharyngeal,B001.00,67446,"Malignant neoplasm of lower lip, vermilion border"
Primary malignancy oro-pharyngeal,B001000,66384,"Malignant neoplasm of lower lip, external"
Primary malignancy oro-pharyngeal,B001100,95480,"Malignant neoplasm of lower lip, lipstick area"
Primary malignancy oro-pharyngeal,B001z00,101707,"Malignant neoplasm of lower lip, vermilion border NOS"
Primary malignancy oro-pharyngeal,B002.00,99493,"Malignant neoplasm of upper lip, inner aspect"
Primary malignancy oro-pharyngeal,B002100,99001,"Malignant neoplasm of upper lip, frenulum"
Primary malignancy oro-pharyngeal,B002200,98500,"Malignant neoplasm of upper lip, mucosa"
Primary malignancy oro-pharyngeal,B002300,90610,"Malignant neoplasm of upper lip, oral aspect"
Primary malignancy oro-pharyngeal,B002z00,100721,"Malignant neoplasm of upper lip, inner aspect NOS"
Primary malignancy oro-pharyngeal,B003.00,71147,"Malignant neoplasm of lower lip, inner aspect"
Primary malignancy oro-pharyngeal,B003000,67504,"Malignant neoplasm of lower lip, buccal aspect"
Primary malignancy oro-pharyngeal,B003100,91843,"Malignant neoplasm of lower lip, frenulum"
Primary malignancy oro-pharyngeal,B003200,89909,"Malignant neoplasm of lower lip, mucosa"
Primary malignancy oro-pharyngeal,B003300,94441,"Malignant neoplasm of lower lip, oral aspect"
Primary malignancy oro-pharyngeal,B003z00,96782,"Malignant neoplasm of lower lip, inner aspect NOS"
Primary malignancy oro-pharyngeal,B004.00,61692,"Malignant neoplasm of lip unspecified, inner aspect"
Primary malignancy oro-pharyngeal,B004000,73614,"Malignant neoplasm of lip unspecified, buccal aspect"
Primary malignancy oro-pharyngeal,B004200,68399,"Malignant neoplasm of lip unspecified, mucosa"
Primary malignancy oro-pharyngeal,B004300,100144,"Malignant neoplasm of lip, oral aspect"
Primary malignancy oro-pharyngeal,B005.00,96783,Malignant neoplasm of commissure of lip
Primary malignancy oro-pharyngeal,B006.00,18882,Malignant neoplasm of overlapping lesion of lip
Primary malignancy oro-pharyngeal,B007.00,37553,"Malignant neoplasm of lip, unspecified"
Primary malignancy oro-pharyngeal,B00z000,100906,"Malignant neoplasm of lip, unspecified, external"
Primary malignancy oro-pharyngeal,B00z100,94251,"Malignant neoplasm of lip, unspecified, lipstick area"
Primary malignancy oro-pharyngeal,B00zz00,69761,"Malignant neoplasm of lip, vermilion border NOS"
Primary malignancy oro-pharyngeal,B01..00,10283,Malignant neoplasm of tongue
Primary malignancy oro-pharyngeal,B010.00,43431,Malignant neoplasm of base of tongue
Primary malignancy oro-pharyngeal,B010.11,69671,Malignant neoplasm of posterior third of tongue
Primary malignancy oro-pharyngeal,B010000,34409,Malignant neoplasm of base of tongue dorsal surface
Primary malignancy oro-pharyngeal,B010z00,91035,Malignant neoplasm of fixed part of tongue NOS
Primary malignancy oro-pharyngeal,B011.00,43642,Malignant neoplasm of dorsal surface of tongue
Primary malignancy oro-pharyngeal,B011100,107258,Malignant neoplasm of midline of tongue
Primary malignancy oro-pharyngeal,B011z00,43781,Malignant neoplasm of dorsum of tongue NOS
Primary malignancy oro-pharyngeal,B012.00,36161,"Malignant neoplasm of tongue, tip and lateral border"
