Condition,ReadCode,MedCode,ReadTerm
Primary malignancy stomach,B107.00,98142,Siewert type I adenocarcinoma
Primary malignancy stomach,B11..00,8386,Malignant neoplasm of stomach
Primary malignancy stomach,B110.00,32022,Malignant neoplasm of cardia of stomach
Primary malignancy stomach,B110000,100584,Malignant neoplasm of cardiac orifice of stomach
Primary malignancy stomach,B110100,22894,Malignant neoplasm of cardio-oesophageal junction of stomach
Primary malignancy stomach,B110111,94278,Malignant neoplasm of gastro-oesophageal junction
Primary malignancy stomach,B110z00,37859,Malignant neoplasm of cardia of stomach NOS
Primary malignancy stomach,B111.00,21620,Malignant neoplasm of pylorus of stomach
Primary malignancy stomach,B111000,48237,Malignant neoplasm of prepylorus of stomach
Primary malignancy stomach,B111100,41215,Malignant neoplasm of pyloric canal of stomach
Primary malignancy stomach,B111z00,59092,Malignant neoplasm of pylorus of stomach NOS
Primary malignancy stomach,B112.00,19318,Malignant neoplasm of pyloric antrum of stomach
Primary malignancy stomach,B113.00,32362,Malignant neoplasm of fundus of stomach
Primary malignancy stomach,B114.00,43572,Malignant neoplasm of body of stomach
Primary malignancy stomach,B115.00,42193,Malignant neoplasm of lesser curve of stomach unspecified
Primary malignancy stomach,B116.00,55434,Malignant neoplasm of greater curve of stomach unspecified
Primary malignancy stomach,B117.00,51690,"Malignant neoplasm, overlapping lesion of stomach"
Primary malignancy stomach,B118.00,97499,Siewert type II adenocarcinoma
Primary malignancy stomach,B119.00,96094,Siewert type III adenocarcinoma
Primary malignancy stomach,B11y.00,55019,Malignant neoplasm of other specified site of stomach
Primary malignancy stomach,B11y000,65312,Malignant neoplasm of anterior wall of stomach NEC
Primary malignancy stomach,B11y100,96802,Malignant neoplasm of posterior wall of stomach NEC
Primary malignancy stomach,B11yz00,65372,Malignant neoplasm of other specified site of stomach NOS
Primary malignancy stomach,B11z.00,14800,Malignant neoplasm of stomach NOS
Primary malignancy stomach,B802.00,17093,Carcinoma in situ of stomach
Primary malignancy stomach,B802000,17258,Carcinoma in situ of cardia of stomach
Primary malignancy stomach,B802100,72947,Carcinoma in situ of fundus of stomach
Primary malignancy stomach,B802200,63087,Carcinoma in situ of body of stomach
Primary malignancy stomach,B802z00,37774,Carcinoma in situ of stomach NOS
Primary malignancy stomach,B902000,51350,Neoplasm of uncertain behaviour of stomach
Primary malignancy stomach,ZV10018,49447,[V]Personal history of malignant neoplasm of stomach
