Condition,ReadCode,MedCode,ReadTerm
Primary malignancy testicular,B47..00,15148,Malignant neoplasm of testis
Primary malignancy testicular,B470.00,64602,Malignant neoplasm of undescended testis
Primary malignancy testicular,B470000,114805,Malignant neoplasm of ectopic testis
Primary malignancy testicular,B470200,7740,Seminoma of undescended testis
Primary malignancy testicular,B470300,36325,Teratoma of undescended testis
Primary malignancy testicular,B470z00,96429,Malignant neoplasm of undescended testis NOS
Primary malignancy testicular,B471.00,19475,Malignant neoplasm of descended testis
Primary malignancy testicular,B471000,21786,Seminoma of descended testis
Primary malignancy testicular,B471100,9476,Teratoma of descended testis
Primary malignancy testicular,B471z00,91509,Malignant neoplasm of descended testis NOS
Primary malignancy testicular,B47z.00,38510,Malignant neoplasm of testis NOS
Primary malignancy testicular,B47z.11,2961,Seminoma of testis
Primary malignancy testicular,B47z.12,15989,Teratoma of testis
Primary malignancy testicular,B836000,8177,Carcinoma in situ of testis
Primary malignancy testicular,B914.00,29479,Neoplasm of uncertain behaviour of testis
Primary malignancy testicular,ZV10416,48808,[V]Personal history of malignant neoplasm of testis
