Condition,ReadCode,MedCode,ReadTerm
Other interstitial pulmonary diseases with fibrosis,23E5.00,2680,O/E - fibrosis of lung present
Other interstitial pulmonary diseases with fibrosis,23E5.11,7994,O/E - fibrosis of lung
Other interstitial pulmonary diseases with fibrosis,A114.00,16741,Tuberculous fibrosis of lung
Other interstitial pulmonary diseases with fibrosis,H431.00,94894,Bauxite fibrosis of lung
Other interstitial pulmonary diseases with fibrosis,H433.00,94575,Graphite fibrosis of lung
Other interstitial pulmonary diseases with fibrosis,H464200,47782,Chronic pulmonary fibrosis due to chemical fumes
Other interstitial pulmonary diseases with fibrosis,H4y1000,22536,Chronic pulmonary fibrosis following radiation
Other interstitial pulmonary diseases with fibrosis,H4y2100,43417,Chronic drug-induced interstitial lung disorders
Other interstitial pulmonary diseases with fibrosis,H55..00,7791,Postinflammatory pulmonary fibrosis
Other interstitial pulmonary diseases with fibrosis,H55..11,40953,Cirrhosis of lung
Other interstitial pulmonary diseases with fibrosis,H563.00,6837,Idiopathic fibrosing alveolitis
Other interstitial pulmonary diseases with fibrosis,H563.11,63174,Hamman - Rich syndrome
Other interstitial pulmonary diseases with fibrosis,H563.12,5519,Cryptogenic fibrosing alveolitis
Other interstitial pulmonary diseases with fibrosis,H563.13,103753,Idiopathic pulmonary fibrosis
Other interstitial pulmonary diseases with fibrosis,H563100,6051,Diffuse pulmonary fibrosis
Other interstitial pulmonary diseases with fibrosis,H563200,103472,Pulmonary fibrosis
Other interstitial pulmonary diseases with fibrosis,H563300,103559,Usual interstitial pneumonitis
Other interstitial pulmonary diseases with fibrosis,H563z00,28229,Idiopathic fibrosing alveolitis NOS
Other interstitial pulmonary diseases with fibrosis,Hyu5000,65060,[X]Other interstitial pulmonary diseases with fibrosis
Other interstitial pulmonary diseases with fibrosis,N04y012,28853,Fibrosing alveolitis associated with rheumatoid arthritis
