Condition,ReadCode,MedCode,ReadTerm
Retinal vascular occlusions,F423.00,5258,Retinal vascular occlusion
Retinal vascular occlusions,F423000,21794,Unspecified retinal vascular occlusion
Retinal vascular occlusions,F423100,7720,Central retinal artery occlusion
Retinal vascular occlusions,F423200,3602,Retinal arterial branch occlusion
Retinal vascular occlusions,F423211,8149,Branch retinal artery occlusion
Retinal vascular occlusions,F423300,11928,Retinal microembolism
Retinal vascular occlusions,F423400,21669,Hollenhorst plaque
Retinal vascular occlusions,F423500,57909,Retinal partial arterial occlusion NOS
Retinal vascular occlusions,F423700,50242,Retinal transient arterial occlusion NOS
Retinal vascular occlusions,F423800,4102,Central retinal vein occlusion
Retinal vascular occlusions,F423811,5223,Retinal vein thrombosis
Retinal vascular occlusions,F423900,5343,Retinal venous branch occlusion
Retinal vascular occlusions,F423911,7647,Branch retinal vein occlusion
Retinal vascular occlusions,F423A00,39989,Retinal venous engorgement
Retinal vascular occlusions,F423z00,861,Retinal vascular occlusion NOS
Retinal vascular occlusions,F42y700,32480,Retinal cotton wool spots
Retinal vascular occlusions,FyuF500,53818,[X]Other retinal artery occlusions
Retinal vascular occlusions,FyuF600,95341,[X]Other retinal vascular occlusions
