Condition,ReadCode,MedCode,ReadTerm
Sarcoidosis,AD5..00,3865,Sarcoidosis
Sarcoidosis,AD50.00,33980,Sarcoidosis of lung
Sarcoidosis,AD51.00,49075,Sarcoidosis of lymph nodes
Sarcoidosis,AD52.00,58841,Sarcoidosis of lung with sarcoidosis of lymph nodes
Sarcoidosis,AD53.00,27769,Sarcoidosis of skin
Sarcoidosis,AD53000,28952,Lupus pernio
Sarcoidosis,AD54.00,72595,Sarcoidosis of inferior turbinates
Sarcoidosis,AD55.00,40613,Sarcoid arthropathy
Sarcoidosis,Cyu0600,73284,[X]Sarcoidosis of other and combined sites
Sarcoidosis,F013.00,49454,Meningitis due to sarcoidosis
Sarcoidosis,F326300,55612,Multiple cranial nerve palsies in sarcoidosis
Sarcoidosis,F374900,40751,Polyneuropathy in sarcoidosis
Sarcoidosis,F396500,52519,Myopathy due to sarcoidosis
Sarcoidosis,G558300,47037,Sarcoid heart disease
Sarcoidosis,G5y7.00,34437,Sarcoid myocarditis
Sarcoidosis,H57y200,3859,Pulmonary sarcoidosis
Sarcoidosis,J63A.00,26405,Hepatic granulomas in sarcoidosis
Sarcoidosis,N233200,47718,Myositis in sarcoidosis
