Condition,ReadCode,MedCode,ReadTerm
Spondylosis,F163200,8920,Myelopathy due to spondylosis
Spondylosis,F337200,23699,Nerve root and plexus compressions in spondylosis
Spondylosis,N051G00,106678,Osteoarthritis of spinal facet joint
Spondylosis,N11..00,2001,Spondylosis and allied disorders
Spondylosis,N11..11,2294,Arthritis of spine
Spondylosis,N11..12,7429,Osteoarthritis of spine
Spondylosis,N110.00,2881,Cervical spondylosis without myelopathy
Spondylosis,N110.11,771,Cervical spondylosis
Spondylosis,N110.12,17092,Osteoarthritis cervical spine
Spondylosis,N110000,38501,Single-level cervical spondylosis without myelopathy
Spondylosis,N110100,51531,Two-level cervical spondylosis without myelopathy
Spondylosis,N110200,15744,Multiple-level cervical spondylosis without myelopathy
Spondylosis,N111.00,8208,Cervical spondylosis with myelopathy
Spondylosis,N111000,27583,Single-level cervical spondylosis with myelopathy
Spondylosis,N111100,63192,Two-level cervical spondylosis with myelopathy
Spondylosis,N111200,58865,Multiple-level cervical spondylosis with myelopathy
Spondylosis,N112.00,18217,Thoracic spondylosis without myelopathy
Spondylosis,N112.11,5183,Thoracic spondylosis
Spondylosis,N112000,69912,Single-level thoracic spondylosis without myelopathy
Spondylosis,N112100,62914,Two-level thoracic spondylosis without myelopathy
Spondylosis,N112200,50448,Multiple-level thoracic spondylosis without myelopathy
Spondylosis,N112300,18205,Dorsal spondylosis without myelopathy
Spondylosis,N113.00,55628,Thoracic spondylosis with myelopathy
Spondylosis,N113000,64854,Single-level thoracic spondylosis with myelopathy
Spondylosis,N113200,96103,Multiple-level thoracic spondylosis with myelopathy
Spondylosis,N114.00,15015,Lumbosacral spondylosis without myelopathy
Spondylosis,N114.11,1565,Degeneration of lumbar spine
Spondylosis,N114.12,1100,Lumbar spondylosis
Spondylosis,N114000,20791,Single-level lumbosacral spondylosis without myelopathy
Spondylosis,N114100,52991,Two-level lumbosacral spondylosis without myelopathy
Spondylosis,N114200,37097,Multiple-level lumbosacral spondylosis without myelopathy
Spondylosis,N115.00,11688,Lumbosacral spondylosis with myelopathy
Spondylosis,N115000,41516,Single-level lumbosacral spondylosis with myelopathy
Spondylosis,N115100,45730,Two-level lumbosacral spondylosis with myelopathy
Spondylosis,N115200,63578,Multiple-level lumbosacral spondylosis with myelopathy
Spondylosis,N119.00,10121,Cervical spondylosis with radiculopathy
Spondylosis,N119000,55810,Single-level cervical spondylosis with radiculopathy
Spondylosis,N119100,51318,Two-level cervical spondylosis with radiculopathy
Spondylosis,N119200,56212,Multiple-level cervical spondylosis with radiculopathy
Spondylosis,N11A.00,35851,Cervical spondylosis with vascular compression
Spondylosis,N11B.00,19386,Thoracic spondylosis with radiculopathy
Spondylosis,N11B000,54852,Single-level thoracic spondylosis with radiculopathy
Spondylosis,N11B100,103137,Two-level thoracic spondylosis with radiculopathy
Spondylosis,N11B200,93977,Multiple-level thoracic spondylosis with radiculopathy
Spondylosis,N11C.00,9834,Lumbosacral spondylosis with radiculopathy
Spondylosis,N11C000,54843,Single-level lumbosacral spondylosis with radiculopathy
Spondylosis,N11C100,65641,Two-level lumbosacral spondylosis with radiculopathy
Spondylosis,N11C200,48810,Multiple-level lumbosacral spondylosis with radiculopathy
Spondylosis,N11D.00,18826,Osteoarthritis of spine
Spondylosis,N11D000,41378,Osteoarthritis of cervical spine
Spondylosis,N11D100,47024,Osteoarthritis of thoracic spine
Spondylosis,N11D200,22452,Osteoarthritis of lumbar spine
Spondylosis,N11D300,53184,Osteoarthritis of spine NOS
Spondylosis,N11E.00,96948,Cervical spondylosis
Spondylosis,N11z.00,3447,Spondylosis NOS
Spondylosis,N11z.11,829,Osteoarthritis spine
Spondylosis,N11z000,56594,"Spondylosis without myelopathy, NOS"
Spondylosis,N11z100,35838,"Spondylosis with myelopathy, NOS"
Spondylosis,N11zz00,17766,Spondylosis NOS
Spondylosis,Nyu6200,111516,[X]Other spondylosis with myelopathy
Spondylosis,Nyu6300,71477,[X]Other spondylosis with radiculopathy
Spondylosis,Nyu6400,55238,[X]Other spondylosis
