Condition,ReadCode,MedCode,ReadTerm
Unspecified or Rare Diabetes,C10A500,100347,Malnutritn-relat diabetes melitus wth periph circul complctn
Unspecified or Rare Diabetes,C10A200,114439,Malnutrition-related diabetes mellitus with renal complicatn
Unspecified or Rare Diabetes,C108700,6509,Insulin dependent diabetes mellitus with retinopathy
Unspecified or Rare Diabetes,C108B00,24694,Insulin dependent diabetes mellitus with mononeuropathy
Unspecified or Rare Diabetes,C108J00,39809,Insulin dependent diab mell with neuropathic arthropathy
Unspecified or Rare Diabetes,C108F00,44260,Insulin dependent diabetes mellitus with diabetic cataract
Unspecified or Rare Diabetes,C108500,44443,Insulin dependent diabetes mellitus with ulcer
Unspecified or Rare Diabetes,C10E312,45276,Insulin dependent diabetes mellitus with multiple complicat
Unspecified or Rare Diabetes,C108000,46963,Insulin-dependent diabetes mellitus with renal complications
Unspecified or Rare Diabetes,C108100,49276,Insulin-dependent diabetes mellitus with ophthalmic comps
Unspecified or Rare Diabetes,C108300,52104,Insulin dependent diabetes mellitus with multiple complicatn
Unspecified or Rare Diabetes,C108200,52283,Insulin-dependent diabetes mellitus with neurological comps
Unspecified or Rare Diabetes,C108D00,57621,Insulin dependent diabetes mellitus with nephropathy
Unspecified or Rare Diabetes,C108600,60499,Insulin dependent diabetes mellitus with gangrene
Unspecified or Rare Diabetes,C108G00,64446,Insulin dependent diab mell with peripheral angiopathy
Unspecified or Rare Diabetes,C108H00,65616,Insulin dependent diabetes mellitus with arthropathy
Unspecified or Rare Diabetes,C107300,69124,IDDM with peripheral circulatory disorder
Unspecified or Rare Diabetes,C10E712,93875,Insulin dependent diabetes mellitus with retinopathy
Unspecified or Rare Diabetes,C10E112,98071,Insulin-dependent diabetes mellitus with ophthalmic comps
Unspecified or Rare Diabetes,C10E512,98704,Insulin dependent diabetes mellitus with ulcer
Unspecified or Rare Diabetes,C10EA12,99719,Insulin-dependent diabetes without complication
Unspecified or Rare Diabetes,C10EF12,100770,Insulin dependent diabetes mellitus with diabetic cataract
Unspecified or Rare Diabetes,C10EC12,101311,Insulin dependent diabetes mellitus with polyneuropathy
Unspecified or Rare Diabetes,C10E212,101735,Insulin-dependent diabetes mellitus with neurological comps
Unspecified or Rare Diabetes,C10ED12,102163,Insulin dependent diabetes mellitus with nephropathy
Unspecified or Rare Diabetes,C10E012,102946,Insulin-dependent diabetes mellitus with renal complications
Unspecified or Rare Diabetes,C10E612,109051,Insulin dependent diabetes mellitus with gangrene
Unspecified or Rare Diabetes,C106000,67853,"Diabetes mellitus, juvenile, + neurological manifestation"
Unspecified or Rare Diabetes,C10z000,68792,"Diabetes mellitus, juvenile type, + unspecified complication"
Unspecified or Rare Diabetes,C105000,69748,"Diabetes mellitus, juvenile type, + ophthalmic manifestation"
Unspecified or Rare Diabetes,C107000,70448,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
Unspecified or Rare Diabetes,C104000,93922,"Diabetes mellitus, juvenile type, with renal manifestation"
Unspecified or Rare Diabetes,C10y000,110997,"Diabetes mellitus, juvenile, + other specified manifestation"
Unspecified or Rare Diabetes,C104100,35105,"Diabetes mellitus, adult onset, with renal manifestation"
Unspecified or Rare Diabetes,C106100,39317,"Diabetes mellitus, adult onset, + neurological manifestation"
Unspecified or Rare Diabetes,C105100,41389,"Diabetes mellitus, adult onset, + ophthalmic manifestation"
Unspecified or Rare Diabetes,C107100,63357,"Diabetes mellitus, adult, + peripheral circulatory disorder"
Unspecified or Rare Diabetes,C10y100,63371,"Diabetes mellitus, adult, + other specified manifestation"
Unspecified or Rare Diabetes,C10z100,63762,"Diabetes mellitus, adult onset, + unspecified complication"
Unspecified or Rare Diabetes,C10yy00,10098,Other specified diabetes mellitus with other spec comps
Unspecified or Rare Diabetes,C104y00,13279,Other specified diabetes mellitus with renal complications
Unspecified or Rare Diabetes,C106.00,16230,Diabetes mellitus with neurological manifestation
Unspecified or Rare Diabetes,C106.13,16491,Diabetes mellitus with polyneuropathy
Unspecified or Rare Diabetes,C104.00,16502,Diabetes mellitus with renal manifestation
Unspecified or Rare Diabetes,C106z00,22573,Diabetes mellitus NOS with neurological manifestation
Unspecified or Rare Diabetes,C107.11,32403,Diabetes mellitus with gangrene
Unspecified or Rare Diabetes,C107.12,32556,Diabetes with gangrene
Unspecified or Rare Diabetes,C105.00,33254,Diabetes mellitus with ophthalmic manifestation
Unspecified or Rare Diabetes,C10y.00,33343,Diabetes mellitus with other specified manifestation
Unspecified or Rare Diabetes,C107200,33807,"Diabetes mellitus, adult with gangrene"
Unspecified or Rare Diabetes,C105z00,34283,Diabetes mellitus NOS with ophthalmic manifestation
Unspecified or Rare Diabetes,C104z00,35107,Diabetes mellitus with nephropathy NOS
Unspecified or Rare Diabetes,C107.00,35399,Diabetes mellitus with peripheral circulatory disorder
Unspecified or Rare Diabetes,C10z.00,45491,Diabetes mellitus with unspecified complication
Unspecified or Rare Diabetes,C108y00,46290,Other specified diabetes mellitus with multiple comps
Unspecified or Rare Diabetes,C105y00,47377,Other specified diabetes mellitus with ophthalmic complicatn
Unspecified or Rare Diabetes,C106y00,61523,Other specified diabetes mellitus with neurological comps
Unspecified or Rare Diabetes,C10zy00,64283,Other specified diabetes mellitus with unspecified comps
Unspecified or Rare Diabetes,C10zz00,64357,Diabetes mellitus NOS with unspecified complication
Unspecified or Rare Diabetes,C108z00,64449,Unspecified diabetes mellitus with multiple complications
Unspecified or Rare Diabetes,C107z00,65025,Diabetes mellitus NOS with peripheral circulatory disorder
Unspecified or Rare Diabetes,Cyu2300,100292,[X]Unspecified diabetes mellitus with renal complications
Unspecified or Rare Diabetes,C107y00,112402,Other specified diabetes mellitus with periph circ comps
Unspecified or Rare Diabetes,C108C00,41716,Insulin dependent diabetes mellitus with polyneuropathy
Unspecified or Rare Diabetes,F420.00,1323,Diabetic retinopathy
Unspecified or Rare Diabetes,F381311,2340,Diabetic amyotrophy
Unspecified or Rare Diabetes,F372.12,2342,Diabetic neuropathy
Unspecified or Rare Diabetes,K01x100,2471,Nephrotic syndrome in diabetes mellitus
Unspecified or Rare Diabetes,C104.11,2475,Diabetic nephropathy
Unspecified or Rare Diabetes,F420200,2986,Preproliferative diabetic retinopathy
Unspecified or Rare Diabetes,F420100,3286,Proliferative diabetic retinopathy
Unspecified or Rare Diabetes,F420400,3837,Diabetic maculopathy
Unspecified or Rare Diabetes,F372.11,5002,Diabetic polyneuropathy
Unspecified or Rare Diabetes,F420000,7069,Background diabetic retinopathy
Unspecified or Rare Diabetes,M037200,7328,Cellulitis in diabetic foot
Unspecified or Rare Diabetes,M271200,9881,Mixed diabetic ulcer - foot
Unspecified or Rare Diabetes,F420300,10099,Advanced diabetic maculopathy
Unspecified or Rare Diabetes,F464000,10659,Diabetic cataract
Unspecified or Rare Diabetes,F420600,10755,Non proliferative diabetic retinopathy
Unspecified or Rare Diabetes,F420z00,11626,Diabetic retinopathy NOS
Unspecified or Rare Diabetes,M271100,11663,Neuropathic diabetic ulcer - foot
Unspecified or Rare Diabetes,C314.11,11848,Renal diabetes
Unspecified or Rare Diabetes,F171100,17067,Autonomic neuropathy due to diabetes
