Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Alcohol consumption,136..00,1221271018,Alcohol consumption,160573003,1221271018
Alcohol consumption,1361.00,291355016,Teetotaller,105542008,291355016
Alcohol consumption,1361.11,587231000006111,Non drinker alcohol,105542008,291352018
Alcohol consumption,1361.11,587231000006111,Non drinker alcohol,105542008,291352018
Alcohol consumption,1361.12,291352018,Non-drinker alcohol,105542008,291352018
Alcohol consumption,1361.12,291352018,Non-drinker alcohol,105542008,291352018
Alcohol consumption,1362.00,397729013,Trivial drinker - <1u/day,266917007,397729013
Alcohol consumption,1362.11,629821000006117,Drinks rarely,266917007,397729013
Alcohol consumption,1362.11,629821000006117,Drinks rarely,266917007,397729013
Alcohol consumption,1362.12,629811000006113,Occasional drinker,228276006,342318019
Alcohol consumption,1362.12,629811000006113,Occasional drinker,228276006,342318019
Alcohol consumption,1363.00,250312016,Light drinker - 1-2u/day,160575005,250312016
Alcohol consumption,1364.00,250313014,Moderate drinker - 3-6u/day,160576006,250313014
Alcohol consumption,1365.00,250314015,Heavy drinker - 7-9u/day,160577002,250314015
Alcohol consumption,1366.00,250316018,Very heavy drinker - >9u/day,160578007,250316018
Alcohol consumption,1367.00,250317010,Stopped drinking alcohol,160579004,250317010
Alcohol consumption,136a.00,1738341000000110,Increasing risk drinking,777631000000108,1738341000000110
Alcohol consumption,136b.00,342421016,Feels should cut down drinking,228362008,342421016
Alcohol consumption,136c.00,1738381000000119,Higher risk drinking,777651000000101,1738381000000119
Alcohol consumption,136d.00,1738421000000111,Lower risk drinking,777671000000105,1738421000000111
Alcohol consumption,136F.00,250331010,Spirit drinker,160588008,250331010
Alcohol consumption,136G.00,250332015,Beer drinker,160589000,250332015
Alcohol consumption,136H.00,250333013,Drinks beer and spirits,160590009,250333013
Alcohol consumption,136I.00,250334019,Drinks wine,160591008,250334019
Alcohol consumption,136J.00,47085011,Social drinker,28127009,47085011
Alcohol consumption,136K.00,250335018,Alcohol intake above recommended sensible limits,160592001,250335018
Alcohol consumption,136L.00,250340014,Alcohol intake within recommended sensible limits,160593006,250340014
Alcohol consumption,136M.00,217461000000118,Non - drinker,105542008,2659856015
Alcohol consumption,136N.00,342320016,Light drinker,228277002,342320016
Alcohol consumption,136O.00,73012011,Moderate drinker,43783005,73012011
Alcohol consumption,136P.00,144179014,Heavy drinker,86933000,144179014
Alcohol consumption,136Q.00,342322012,Very heavy drinker,228279004,342322012
