Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Smoking status,137..11,137721000006115,Smoker - amount smoked,266918002,397730015
Smoking status,1371.00,397732011,Never smoked tobacco,266919005,397732011
Smoking status,1371.11,14866014,Non-smoker,8392000,14866014
Smoking status,1372.00,88471000006112,Trivial cigarette smoker (less than one cigarette/day),266920004,397735013
Smoking status,1372.11,397733018,Occasional smoker,428041000124106,2717161000000119
Smoking status,1373.00,743331000006116,Light cigarette smoker (1-9 cigs/day),160603005,250358015
Smoking status,1374.00,700121000006118,Moderate cigarette smoker (10-19 cigs/day),160604004,250359011
Smoking status,1375.00,819331000006110,Heavy cigarette smoker (20-39 cigs/day),160605003,250360018
Smoking status,1376.00,67621000006112,Very heavy cigarette smoker (40+ cigs/day),160606002,250362014
Smoking status,1377.00,250363016,Ex-trivial cigarette smoker (<1/day),266921000,397736014
Smoking status,1378.00,250364010,Ex-light cigarette smoker (1-9/day),266922007,397737017
Smoking status,1379.00,250365011,Ex-moderate cigarette smoker (10-19/day),266923002,397738010
Smoking status,137A.00,250366012,Ex-heavy cigarette smoker (20-39/day),266924008,397739019
Smoking status,137b.00,1488577017,Ready to stop smoking,394872000,1488577017
Smoking status,137B.00,250367015,Ex-very heavy cigarette smoker (40+/day),266925009,397740017
Smoking status,137c.00,1488576014,Thinking about stopping smoking,394871007,1488576014
Smoking status,137C.00,250368013,Keeps trying to stop smoking,160612007,250368013
Smoking status,137d.00,1488578010,Not interested in stopping smoking,394873005,1488578010
Smoking status,137e.00,2670126018,Smoking restarted,308438006,2670126018
Smoking status,137f.00,1780360012,Reason for restarting smoking,401159003,1780360012
Smoking status,137F.00,250371017,Ex-smoker - amount unknown,8517006,15047015
Smoking status,137G.00,250372012,Trying to give up smoking,160616005,250372012
Smoking status,137h.00,2474719011,Minutes from waking to first tobacco consumption,413173009,2474719011
Smoking status,137H.00,136515019,Pipe smoker,82302008,136515019
Smoking status,137j.00,418914010,Ex-cigarette smoker,281018007,418914010
Smoking status,137J.00,99639019,Cigar smoker,59978006,99639019
Smoking status,137K.00,250373019,Stopped smoking,160617001,250373019
Smoking status,137K000,1151791000000117,Recently stopped smoking,517211000000106,1151791000000117
Smoking status,137l.00,1059701000000119,Ex roll-up cigarette smoker,492191000000103,1059701000000119
Smoking status,137L.00,250374013,Current non-smoker,160618006,250374013
Smoking status,137m.00,1592611000000110,Failed attempt to stop smoking,446172000,2882460017
Smoking status,137M.00,250375014,Rolls own cigarettes,160619003,250375014
Smoking status,137N.00,649831000006117,Ex-pipe smoker,160620009,250376010
Smoking status,137O.00,649821000006115,Ex-cigar smoker,160621008,250377018
Smoking status,137P.00,108938018,Cigarette smoker,65568007,108938018
Smoking status,137P.11,128130017,Smoker,77176002,128130017
Smoking status,137Q.00,2669652019,Smoking started,266929003,2669652019
Smoking status,137Q.11,137791000006118,Smoking restarted,308438006,2670126018
Smoking status,137R.00,503483019,Current smoker,77176002,503483019
Smoking status,137S.00,649841000006110,Ex-smoker,8517006,15047015
Smoking status,137T.00,250385010,Date ceased smoking,160625004,250385010
Smoking status,137V.00,216212011,Smoking reduced,134406006,216212011
Smoking status,13p..00,1484932017,Smoking cessation milestones,390900001,1484932017
Smoking status,13p0.00,1484933010,Negotiated date for cessation of smoking,390901002,1484933010
Smoking status,13p1.00,1484934016,Smoking status at 4 weeks,390902009,1484934016
Smoking status,13p2.00,1484935015,Smoking status between 4 and 52 weeks,390903004,1484935015
Smoking status,13p3.00,1484936019,Smoking status at 52 weeks,390904005,1484936019
Smoking status,13p4.00,1488873010,Smoking free weeks,395177003,1488873010
