Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Coronary heart disease,14A3.00,810811000006116,H/O: myocardial infarct at less than 60,161502000,251675010
Coronary heart disease,14A4.00,810821000006112,H/O: myocardial infarct at greater than 60,161503005,251678012
Coronary heart disease,14A5.00,251679016,H/O: angina pectoris,161504004,251679016
Coronary heart disease,14AH.00,451369010,H/O: Myocardial infarction in last year,308065005,451369010
Coronary heart disease,14AJ.00,451370011,H/O: Angina in last year,308066006,451370011
Coronary heart disease,14AL.00,451372015,H/O: Treatment for ischaemic heart disease,308068007,451372015
Coronary heart disease,3213100,256748011,Exercise ECG abnormal,165084003,256748011
Coronary heart disease,3213111,2535824013,Positive exercise ECG test,165084003,2535824013
Coronary heart disease,322..00,634751000006116,ECG myocardial ischaemia,164861001,1205556017
Coronary heart disease,3222.00,635641000006111,ECG:shows myocardial ischaemia,164861001,1205556017
Coronary heart disease,322Z.00,256451015,ECG: myocardial ischaemia NOS,164861001,1205556017
Coronary heart disease,323..00,256452010,ECG: myocardial infarction,164865005,256452010
Coronary heart disease,3233.00,256455012,ECG: antero-septal infarct.,164868007,256455012
Coronary heart disease,3234.00,256457016,ECG:posterior/inferior infarct,164869004,256457016
Coronary heart disease,3235.00,256458014,ECG: subendocardial infarct,164870003,256458014
Coronary heart disease,3236.00,256459018,ECG: lateral infarction,164871004,256459018
Coronary heart disease,323Z.00,256460011,ECG: myocardial infarct NOS,164865005,256452010
Coronary heart disease,32E4.00,635311000006117,ST depression,26141007,483123017
Coronary heart disease,32F2.00,256526019,ECG: T wave abnormal,164934002,256526019
Coronary heart disease,32F3.00,635441000006114,ECG: T wave flattened,66812002,500529015
Coronary heart disease,32F4.00,635451000006111,Inverted T wave,59931005,498584015
Coronary heart disease,33B9500,256747018,Exercise tolerance test abnormal,165084003,256747018
Coronary heart disease,5543.00,262247015,Coronary arteriography abnormal,168939002,2666780014
Coronary heart disease,5C11.00,2474304012,Radionuclide heart study abnormal,412747004,2474304012
Coronary heart disease,662K.00,264492012,Angina control,170593007,264492012
Coronary heart disease,662K000,264493019,Angina control - good,170594001,264493019
Coronary heart disease,662K100,264494013,Angina control - poor,170595000,264494013
Coronary heart disease,662K200,264495014,Angina control - improving,170596004,264495014
Coronary heart disease,662K300,264496010,Angina control - worsening,170597008,264496010
Coronary heart disease,662Kz00,264497018,Angina control NOS,170593007,264492012
Coronary heart disease,6A2..00,460133017,Coronary heart disease annual review,315614006,460133017
Coronary heart disease,6A4..00,1484833014,Coronary heart disease review,390799004,1484833014
Coronary heart disease,792..11,348644016,Coronary artery bypass graft operations,232717009,348644016
Coronary heart disease,7920.00,1228282017,Saphenous vein graft replacement of coronary artery,3546002,6979016
Coronary heart disease,7920.11,161451000006116,Saphenous vein graft replacement of coronary artery,3546002,1228282017
Coronary heart disease,7920000,271073015,Saphenous vein graft replacement of one coronary artery,736967001,3525967012
Coronary heart disease,7920100,271074014,Aortocoronary artery bypass of two coronary arteries with saphenous vein graft,736969003,3525975018
Coronary heart disease,7920200,271075010,Aortocoronary artery bypass of three coronary arteries with saphenous vein graft,736968006,3525971010
Coronary heart disease,7920300,161491000006110,Aortocoronary artery bypass of four or more coronary arteries with saphenous vein graft,736966005,3525965016
Coronary heart disease,7920y00,161481000006112,Aortocoronary artery bypass graft with saphenous vein graft,3546002,6979016
Coronary heart disease,7920z00,271079016,Saphenous vein graft replacement coronary artery NOS,3546002,6979016
Coronary heart disease,7921.11,1221554018,Other autograft bypass of coronary artery,232717009,348640013
Coronary heart disease,7921000,271081019,Autograft replacement of one coronary artery NEC,232719007,348647011
Coronary heart disease,7921100,271082014,Autograft replacement of two coronary arteries NEC,232720001,348649014
Coronary heart disease,7921200,271083016,Autograft replacement of three coronary arteries NEC,232721002,348651013
Coronary heart disease,7921300,271084010,Autograft replacement of four of more coronary arteries NEC,232722009,348654017
Coronary heart disease,7921y00,36861000006113,Other autograft replacement of coronary artery OS,232717009,348640013
Coronary heart disease,7921z00,271086012,Other autograft replacement of coronary artery NOS,232717009,348640013
Coronary heart disease,7922.00,271088013,Allograft replacement of coronary artery,175021005,271087015
Coronary heart disease,7922.11,271087015,Allograft bypass of coronary artery,175021005,271087015
Coronary heart disease,7922000,271089017,Allograft replacement of one coronary artery,736971003,3525979012
Coronary heart disease,7922100,271092018,Allograft replacement of two coronary arteries,736973000,3525983012
Coronary heart disease,7922200,271093011,Allograft replacement of three coronary arteries,736972005,3525981014
Coronary heart disease,7922300,271094017,Allograft replacement of four or more coronary arteries,736970002,3525977014
Coronary heart disease,7922y00,271095016,Other specified allograft replacement of coronary artery,175021005,271087015
Coronary heart disease,7922z00,271096015,Allograft replacement of coronary artery NOS,175021005,271087015
Coronary heart disease,7923.00,271098019,Prosthetic replacement of coronary artery,175029007,271097012
Coronary heart disease,7923.11,271097012,Prosthetic bypass of coronary artery,175029007,271097012
Coronary heart disease,7923000,271099010,Prosthetic replacement of one coronary artery,736963002,3525947015
Coronary heart disease,7923100,271100019,Prosthetic replacement of two coronary arteries,736965009,3525955010
Coronary heart disease,7923200,271101015,Prosthetic replacement of three coronary arteries,736964008,3525952013
Coronary heart disease,7923300,271102010,Prosthetic replacement of four or more coronary arteries,736962007,3525944010
Coronary heart disease,7923z00,271104011,Prosthetic replacement of coronary artery NOS,175029007,271097012
Coronary heart disease,7925.00,271114019,Connection of mammary artery to coronary artery,175045009,271114019
Coronary heart disease,7925.11,271115018,Creation of bypass from mammary artery to coronary artery,175045009,271115018
Coronary heart disease,7925000,394286010,Double anastomosis of mammary arteries to coronary arteries,265481001,394286010
Coronary heart disease,7925100,628021000006118,Double implantation of mammary arteries into coronary arteries,175047001,271120018
Coronary heart disease,7925300,405092018,Single anastomosis of mammary artery to coronary artery NEC,232719007,348647011
Coronary heart disease,7925311,411159010,LIMA single anastomosis,275215001,411159010
Coronary heart disease,7925312,411160017,RIMA single anastomosis,275216000,411160017
Coronary heart disease,7925400,271126012,Single implantation of mammary artery into coronary artery,175050003,271126012
Coronary heart disease,7925y00,589721000006114,Connection of mammary artery to coronary artery OS,175045009,271114019
Coronary heart disease,7925z00,271128013,Connection of mammary artery to coronary artery NOS,175045009,271114019
Coronary heart disease,7926.00,271129017,Connection of other thoracic artery to coronary artery,232717009,348640013
Coronary heart disease,7926000,627951000006112,Double anastom thoracic arteries to coronary arteries NEC,232720001,348649014
Coronary heart disease,7926200,271132019,Single anastomosis of thoracic artery to coronary artery NEC,232719007,348647011
Coronary heart disease,7926300,142431000006114,Single implantation thoracic artery into coronary artery NEC,232719007,348647011
Coronary heart disease,7926z00,271135017,Connection of other thoracic artery to coronary artery NOS,232717009,348640013
Coronary heart disease,7927500,1221061012,Open angioplasty of coronary artery,14201006,1221061012
Coronary heart disease,7928.11,238821000006111,Percutaneous balloon coronary angioplasty,11101003,19234014
Coronary heart disease,7928000,238641000006117,Percutaneous transluminal balloon angioplasty of one coronary artery,68466008,1233048011
Coronary heart disease,7928100,238571000006114,Percutaneous transluminal balloon angioplasty of multiple coronary arteries,85053006,506356013
Coronary heart disease,7928200,238561000006119,Percutaneous transluminal balloon angioplasty of bypass graft of coronary artery,175066001,271142017
Coronary heart disease,7928300,1547311000006116,Percutaneous transluminal cutting balloon angioplasty of coronary artery,707828002,3032475016
Coronary heart disease,7928y00,89731000006112,Transluminal balloon angioplasty of coronary artery OS,11101003,19234014
Coronary heart disease,7928z00,271148018,Transluminal balloon angioplasty of coronary artery NOS,11101003,19234014
Coronary heart disease,7929000,484402013,Percutaneous transluminal laser coronary angioplasty,29843007,484402013
Coronary heart disease,7929300,1785743019,Rotary blade coronary angioplasty,397193006,1785743019
Coronary heart disease,7929400,2536354015,Insertion of coronary artery stent,36969009,2536354015
Coronary heart disease,7929500,311461000000116,Insertion of drug-eluting coronary artery stent,203741000000101,311461000000116
Coronary heart disease,7929600,354901000000117,Percutaneous transluminal atherectomy of coronary artery,232726007,354901000000117
Coronary heart disease,792B000,271162013,Endarterectomy of coronary artery,20738002,34888017
Coronary heart disease,792C.00,271165010,Other replacement of coronary artery,232717009,348640013
Coronary heart disease,792C000,271166011,Replacement of coronary arteries using multiple methods,175085003,271166011
Coronary heart disease,792Cy00,271167019,Other specified replacement of coronary artery,232717009,348640013
Coronary heart disease,792Cz00,271168012,Replacement of coronary artery NOS,232717009,348640013
Coronary heart disease,792D.00,271169016,Coronary artery bypass graft,232717009,348640013
Coronary heart disease,792Dy00,271170015,Other specified other bypass of coronary artery,232717009,348640013
Coronary heart disease,792Dz00,271171016,Other bypass of coronary artery NOS,232717009,348640013
Coronary heart disease,793G.00,1547631000006117,Percutaneous transluminal balloon angioplasty with insertion of stent into coronary artery,429639007,2694928017
Coronary heart disease,793G000,1547641000006110,Percutaneous transluminal balloon angioplasty and insertion of drug eluting stent into coronary artery,936451000000108,2398371000000113
Coronary heart disease,793G100,1547651000006112,Perc tran ball angio ins 3 or more drug elut stents cor art,936451000000108,2398371000000113
Coronary heart disease,793G200,1547661000006114,Perc translum balloon angioplasty insert 1-2 stents cor art,429639007,2694928017
Coronary heart disease,793G300,1547671000006119,Percutaneous cor balloon angiop 3 more stents cor art NEC,429639007,2694928017
Coronary heart disease,793Gy00,1547681000006116,OS perc translumina balloon angioplast stenting coronary art,429639007,2694928017
Coronary heart disease,793Gz00,1547691000006118,Perc translum balloon angioplasty stenting coronary art NOS,429639007,2694928017
Coronary heart disease,7A54000,272107018,Percutaneous balloon angioplasty of artery,276861004,413186016
Coronary heart disease,7A54500,272117011,Rotary blade angioplasty,175764006,272117011
Coronary heart disease,7A54800,1548361000006119,Percutaneous endarterectomy,415071007,2533528016
Coronary heart disease,7A56400,2675882017,Percutaneous transluminal balloon angioplasty of artery,426674009,2675882017
Coronary heart disease,7A6G100,272295013,Peroperative angioplasty,175882004,272295013
Coronary heart disease,7A6H300,456362017,Prosthetic graft patch angioplasty,312610006,456362017
Coronary heart disease,7A6H400,456363010,Percutaneous transluminal angioplasty of vascular graft,312611005,456363010
Coronary heart disease,889A.00,616081000006113,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,315287002,459791015
Coronary heart disease,8B27.00,451425016,Antianginal therapy,308117007,451425016
Coronary heart disease,8B3k.00,1488440011,Coronary heart disease medication review,394724007,1488440011
Coronary heart disease,8H2V.00,585631000000113,Emergency hospital admission for ischaemic heart disease,699245006,3082941013
Coronary heart disease,G3...00,2534664018,Ischaemic heart disease,414545008,2534664018
Coronary heart disease,G3...11,2536393012,Arteriosclerotic heart disease,443502000,2842265012
Coronary heart disease,G3...12,89332015,Atherosclerotic heart disease,443502000,2842265012
Coronary heart disease,G3...13,2537480011,IHD - Ischaemic heart disease,414545008,2537480011
Coronary heart disease,G30..00,94884017,Acute myocardial infarction,57054005,94884017
Coronary heart disease,G30..11,219521000000119,Attack - heart,22298006,37443015
