Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Personality disorder,E21..00,230091000006118,Personality disorder,33449004,55821010
Personality disorder,E21..11,675911000006115,Neurotic personality disorder,33449004,55821010
Personality disorder,E210.00,23211011,Paranoid personality disorder,13601005,23211011
Personality disorder,E211.00,1495439012,Affective personality disorder,76105009,126403014
Personality disorder,E211000,295044016,Affective personality disorder,76105009,1495439012
Personality disorder,E211100,295045015,Hypomanic personality disorder,191753006,295045015
Personality disorder,E211200,613781000006118,Depressive personality disorder,78667006,130532011
Personality disorder,E211300,605901000006114,Cyclothymic personality disorder,76105009,126403014
Personality disorder,E211z00,295048018,Affective personality disorder NOS,76105009,126403014
Personality disorder,E212.00,88108012,Schizoid personality disorder,52954000,88108012
Personality disorder,E212000,295049014,Unspecified schizoid personality disorder,52954000,88108012
Personality disorder,E212100,746351000006118,Introverted personality,268633003,401784013
Personality disorder,E212200,155281000006119,Schizotypal personality,31027006,51933014
Personality disorder,E212z00,295052018,Schizoid personality disorder NOS,52954000,88108012
Personality disorder,E213.00,347011014,Explosive personality disorder,231527003,347011014
Personality disorder,E213.11,474121000006111,Aggressive character,286798002,426255014
Personality disorder,E213.12,195991000006117,Quarrelsome personality,231527003,347011014
Personality disorder,E214.00,577931000006110,Compulsive personality disorder,473456000,2957161013
Personality disorder,E214.11,481471000006112,Anancastic personality,1376001,475486014
Personality disorder,E214000,481481000006110,Anankastic personality,1376001,475488010
Personality disorder,E214100,475487017,Obsessional personality,1376001,475487017
Personality disorder,E214z00,295063015,Compulsive personality disorder NOS,473456000,2957161013
Personality disorder,E215.00,824751000006111,Histrionic personality disorder,55341008,92006017
Personality disorder,E215.11,787571000006113,Hysterical personality disorders,55341008,497204019
Personality disorder,E215000,295064014,Unspecified histrionic personality disorder,55341008,92006017
Personality disorder,E215200,640481000006113,Emotionally unstable personality,191765005,295065010
Personality disorder,E215300,295066011,Psychoinfantile personality,191766006,295066011
Personality disorder,E215z00,295067019,Histrionic personality disorder NOS,55341008,92006017
Personality disorder,E216.00,782871000006113,Inadequate personality disorder,84466009,140060016
Personality disorder,E216.11,496091000006112,Asthenic personality,84466009,140060016
Personality disorder,E216.12,223661000000115,Dependent personality,84466009,140060016
Personality disorder,E216.13,735811000006119,Labile personality,191765005,295065010
Personality disorder,E217.00,487991000006113,Antisocial or sociopathic personality disorder,26665006,44645013
Personality disorder,E217.11,480071000006112,Amoral personality,26665006,483298014
Personality disorder,E21y.00,295077017,Other personality disorders,33449004,55821010
Personality disorder,E21y000,133885012,Narcissistic personality disorder,80711002,133885012
Personality disorder,E21y100,62962010,Avoidant personality disorder,37746008,62962010
Personality disorder,E21y200,33677019,Borderline personality disorder,20010003,33677019
Personality disorder,E21y300,1230168015,Passive-aggressive personality disorder,44966003,1230168015
Personality disorder,E21y400,295079019,Eccentric personality disorder,191772006,295079019
