Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Tuberculosis,1411.00,251538012,H/O: tuberculosis,161414005,251538012
Tuberculosis,14P9.00,1140001000000117,History of tuberculosis drug therapy,473151000,2956178010
Tuberculosis,65V9.00,264412013,Notification of tuberculosis,170525009,264412013
Tuberculosis,65V9.11,264413015,TB - tuberculosis notification,170525009,264413015
Tuberculosis,65Y1.00,2533971018,On tuberculosis chemoprophylaxis,414940009,2533971018
Tuberculosis,65Y2.00,2533735010,Streptomycin resistant tuberculosis,415622003,2533735010
Tuberculosis,65Y3.00,2533736011,Rifampicin resistant tuberculosis,415345001,2533736011
Tuberculosis,65Y5.00,2533738012,Isoniazid resistant tuberculosis,414546009,2533738012
Tuberculosis,65Y8.00,2533741015,Ciprofloxacin resistant tuberculosis,413852006,2533741015
Tuberculosis,65Y9.00,20683012,Inactive tuberculosis,11999007,20683012
Tuberculosis,65Y9.11,667971000000118,Latent tuberculosis,11999007,667971000000118
Tuberculosis,8BAD100,282858010,TB chemotherapy,182975000,282858010
Tuberculosis,A1...00,94320019,Tuberculosis,56717001,94320019
Tuberculosis,A10..00,105237015,Primary tuberculous infection,63309002,105237015
Tuberculosis,A100.00,146495016,Primary tuberculous complex,88356006,146495016
Tuberculosis,A101.00,286214019,Tuberculous pleurisy in primary progressive tuberculosis,186172004,286214019
Tuberculosis,A10y.00,286215018,Primary progressive tuberculosis,111832004,179011011
Tuberculosis,A10z.00,286216017,Primary tuberculous infection NOS,63309002,105234010
Tuberculosis,A11..00,239551014,Pulmonary tuberculosis,154283005,239551014
Tuberculosis,A11..11,732921000006113,Lung tuberculosis,154283005,239551014
Tuberculosis,A110.00,286217014,Infiltrative lung tuberculosis,186175002,286217014
Tuberculosis,A111.00,1788181018,Nodular lung tuberculosis,80602006,1788181018
Tuberculosis,A112.00,286219012,Tuberculosis of lung with cavitation,186177005,286219012
Tuberculosis,A113.00,286220018,Tuberculosis of bronchus,186178000,286220018
Tuberculosis,A114.00,149374011,Tuberculous fibrosis of lung,90117007,149374011
Tuberculosis,A115.00,38677017,Tuberculous bronchiectasis,23022004,38677017
Tuberculosis,A116.00,132731014,Tuberculous pneumonia,80003002,132731014
Tuberculosis,A117.00,49747014,Tuberculous pneumothorax,29731002,49747014
Tuberculosis,A11y.00,286221019,Other specified pulmonary tuberculosis,154283005,239551014
Tuberculosis,A11z.00,286222014,Pulmonary tuberculosis NOS,154283005,239551014
Tuberculosis,A12..00,286223016,Other respiratory tuberculosis,154283005,239551014
Tuberculosis,A120.00,286225011,Tuberculous pleurisy,186182003,286225011
Tuberculosis,A120000,286224010,Tuberculosis of pleura,186182003,286224010
Tuberculosis,A120100,24683016,Tuberculous empyema,14527007,24683016
Tuberculosis,A120200,40681016,Tuberculous hydrothorax,24235005,40681016
Tuberculosis,A120z00,286230010,Tuberculous pleurisy NOS,186182003,286224010
Tuberculosis,A121.00,130160016,Tuberculosis of intrathoracic lymph nodes,78436002,130160016
Tuberculosis,A121000,123534017,Tuberculosis of hilar lymph nodes,74387008,123534017
Tuberculosis,A121100,136831015,Tuberculosis of mediastinal lymph nodes,82495004,136831015
Tuberculosis,A121200,142044014,Tuberculosis of tracheobronchial lymph nodes,85692003,142044014
Tuberculosis,A121z00,286231014,Tuberculosis of intrathoracic lymph nodes NOS,78436002,130160016
Tuberculosis,A122.00,286232019,Isolated tracheobronchial tuberculosis,700273003,2990051010
Tuberculosis,A122000,128905016,Isolated tracheal tuberculosis,77668003,128905016
Tuberculosis,A122100,132741012,Isolated bronchial tuberculosis,80010008,132741012
Tuberculosis,A122z00,286235017,Isolated tracheal or bronchial tuberculosis NOS,700273003,2990051010
Tuberculosis,A123.00,116837013,Tuberculous laryngitis,70341005,116837013
Tuberculosis,A124.00,175131000006112,"Respiratory tuberculosis, bacteriologically and histologically confirmed",186192006,286236016
Tuberculosis,A124000,107761000006118,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",186193001,286237013
