Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Cerebrovascular disease,14A7.00,809421000006116,History of cerebrovascular accident,275526006,2986886017
Cerebrovascular disease,14A7.11,411518010,H/O: CVA,275526006,411518010
Cerebrovascular disease,14A7.12,2476091017,H/O: stroke,275526006,2476091017
Cerebrovascular disease,14AB.00,251692018,H/O: TIA,161511000,251692018
Cerebrovascular disease,14AB000,2171081000000116,H/O amaurosis fugax,13016361000119100,2713751000000114
Cerebrovascular disease,14AK.00,451371010,H/O: Stroke in last year,308067002,451371010
Cerebrovascular disease,1B1S.00,345718011,Transient global amnesia,230736007,345718011
Cerebrovascular disease,1M4..00,413750011,Central post-stroke pain,277286006,413750011
Cerebrovascular disease,661M700,2118011000000114,Stroke self-management plan agreed,812041000000104,2118011000000114
Cerebrovascular disease,661N700,2115821000000118,Stroke self-management plan review,810991000000109,2115821000000118
Cerebrovascular disease,662e.00,1780304018,CVA annual review,699270006,2983515011
Cerebrovascular disease,662e.11,2126181000000114,Stroke annual review,699270006,2983500010
Cerebrovascular disease,662M.00,264499015,Stroke monitoring,170600009,264499015
Cerebrovascular disease,662M100,1160471000000111,Stroke 6 month review,519751000000106,1160471000000111
Cerebrovascular disease,662M200,2127781000000110,Stroke initial post discharge review,816561000000108,2127781000000110
Cerebrovascular disease,7P24200,371641000000112,Delivery of rehabilitation for stroke,231231000000107,371641000000112
Cerebrovascular disease,8CRB.00,1148331000000111,Transient ischaemic attack clinical management plan,736288002,3517033016
Cerebrovascular disease,8HHM.00,966981000006112,Referral to multidisciplinary stroke function improvement service,112901000000108,199461000000113
Cerebrovascular disease,8IEC.00,1784651000006110,Referral for multidisciplinary stroke function improvement declined,781731000000103,1747751000000110
Cerebrovascular disease,9h2..00,138981000000113,Exception reporting - stroke quality indicators,716331000000108,1568881000000119
Cerebrovascular disease,9h21.00,139081000000117,Excepted from stroke quality indicators - patient unsuitable,716581000000101,1569131000000118
Cerebrovascular disease,9h22.00,139091000000115,Excepted from stroke quality indicators - informed dissent,716021000000109,1568581000000116
Cerebrovascular disease,F423600,145925010,Amaurosis fugax,88032003,145925010
Cerebrovascular disease,Fyu5500,416991000006112,Transient cerebral ischemia,266257000,395788015
Cerebrovascular disease,Fyu5600,299342019,Lacunar infarction,230698000,345651012
Cerebrovascular disease,G63..11,345639010,Infarction - precerebral,230692004,345639010
Cerebrovascular disease,G63y000,300312010,Cerebral infarct due to thrombosis of precerebral arteries,195185009,300312010
Cerebrovascular disease,G63y100,300313017,Cerebral infarction due to embolism of precerebral arteries,195186005,300313017
Cerebrovascular disease,G64..00,1222398015,Cerebral arterial occlusion,20059004,1222398015
Cerebrovascular disease,G64..11,605461000006117,CVA - cerebrovascular accident due to cerebral artery occlusion,230691006,345638019
Cerebrovascular disease,G64..12,218511000000117,Infarction - cerebral,432504007,2770034014
Cerebrovascular disease,G64..13,122361000006113,Stroke due to cerebral arterial occlusion,230691006,345638019
