Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Chronic fatigue,8HkW.00,1162261000000119,Referral to chronic fatigue syndrome specialist team,520511000000101,1162261000000119
Chronic fatigue,8HkW.11,1167861000000115,Referral to myalgic encephalomyelitis specialist team,520511000000101,1167861000000115
Chronic fatigue,8HlL.00,1167821000000111,Referral for chronic fatigue syndrome activity management,522991000000100,1167821000000111
Chronic fatigue,8HlL.11,1550161000000112,Referral for myalgic encephalopathy activity management,522991000000100,1550161000000112
Chronic fatigue,8Q1..00,732301000000114,Activity management for chronic fatigue syndrome,372601000000101,732301000000114
Chronic fatigue,8Q1..11,737661000000116,Activity management for myalgic encephalopathy,372601000000101,737661000000116
Chronic fatigue,E205.00,677321000006115,Neurasthenia,78667006,130532011
Chronic fatigue,E20y300,295032019,Psychasthenic neurosis,191746002,295032019
Chronic fatigue,Eu46000,399841000006110,[X]Neurasthenia,78667006,130532011
Chronic fatigue,Eu46011,386731000006116,[X]Fatigue syndrome,84229001,139690015
Chronic fatigue,Eu46y14,423791000006113,[X]Psychasthenia,191746002,295032019
Chronic fatigue,Eu46y15,423801000006114,[X]Psychasthenia neurosis,111475002,178715018
Chronic fatigue,F03y.12,684221000006112,Myalgic encephalomyelitis,52702003,496413011
Chronic fatigue,F286.00,87704019,Chronic fatigue syndrome,52702003,87704019
Chronic fatigue,F286.11,496414017,CFS - Chronic fatigue syndrome,52702003,496414017
Chronic fatigue,F286.12,496412018,Postviral fatigue syndrome,51771007,86205014
Chronic fatigue,F286.13,195091000006116,PVFS - Postviral fatigue syn,51771007,86205014
Chronic fatigue,F286.14,217451000006111,Post-viral fatigue syndrome,51771007,86205014
Chronic fatigue,F286.15,496413011,Myalgic encephalomyelitis,52702003,496413011
Chronic fatigue,F286.16,496410014,ME - Myalgic encephalomyelitis,52702003,496410014
Chronic fatigue,F286000,742341000000111,Mild chronic fatigue syndrome,377181000000104,742341000000111
Chronic fatigue,F286100,742321000000116,Moderate chronic fatigue syndrome,377171000000101,742321000000116
Chronic fatigue,F286200,742301000000113,Severe chronic fatigue syndrome,377161000000108,742301000000113
Chronic fatigue,R007200,317066018,Asthenia,13791008,23509018
Chronic fatigue,R007400,317068017,[D]Postviral (asthenic) syndrome,51771007,86205014
Chronic fatigue,R007411,301351000006117,[D]Post viral debility,51771007,86205014
