Condition,ReadCode,MedCodeId,Term,SnomedCTConceptId,SnomedCTDescriptionId
Dermatitis (atopc/contact/other/unspecified),14F1.00,251783011,H/O: eczema,161561009,251783011
Dermatitis (atopc/contact/other/unspecified),26C4.00,674301000006118,Eczema of nipple,237463009,355885017
Dermatitis (atopc/contact/other/unspecified),A540.00,286729018,Eczema herpeticum - Kaposi's varicelliform eruption,186535001,286729018
Dermatitis (atopc/contact/other/unspecified),C391211,100341000006117,Thrombocytopenic eczema with immunodeficiency,36070007,60191017
Dermatitis (atopc/contact/other/unspecified),F4D3000,636491000006112,Dermatitis of eyelid,93423006,154630014
Dermatitis (atopc/contact/other/unspecified),F4D3100,399476014,Contact or allergic eyelid dermatitis,93423006,154630014
Dermatitis (atopc/contact/other/unspecified),F4D3111,223901000000111,Contact dermatitis of eyelid,68670009,114057013
Dermatitis (atopc/contact/other/unspecified),F4D3112,219361000000115,Contact eczema - eyelids,93423006,154630014
Dermatitis (atopc/contact/other/unspecified),F4D4.00,779631000006110,Infective dermatitis of eyelid resulting in deformity,71577007,118911017
Dermatitis (atopc/contact/other/unspecified),F4D5.00,298564016,Infective dermatitis of eyelid,27023008,45197011
Dermatitis (atopc/contact/other/unspecified),F500211,552351000006115,Chondrodermatitis nodularis helicis,76583009,127176015
Dermatitis (atopc/contact/other/unspecified),F500300,127176015,Chondrodermatitis nodularis helicis,76583009,127176015
Dermatitis (atopc/contact/other/unspecified),F502400,1788053014,Acute eczematoid otitis extern,54272002,1788053014
Dermatitis (atopc/contact/other/unspecified),F502411,512310013,Eczema of external ear,95812002,512310013
Dermatitis (atopc/contact/other/unspecified),H330.00,660351000006118,Allergic atopic asthma,389145006,1493645010
Dermatitis (atopc/contact/other/unspecified),M07y.11,195021000006118,Pustular eczema,123700004,192189011
Dermatitis (atopc/contact/other/unspecified),M07z.14,740221000006117,Dermatitis,703938007,3039229010
Dermatitis (atopc/contact/other/unspecified),M1...11,614361000006113,Dermatitis/dermatoses,703938007,3012078018
Dermatitis (atopc/contact/other/unspecified),M102.00,492621013,Infectious eczematoid dermatitis,414492009,3317202015
Dermatitis (atopc/contact/other/unspecified),M102.11,192189011,Pustular eczema,123700004,192189011
Dermatitis (atopc/contact/other/unspecified),M104.00,308483011,Pityriasis simplex,200767005,308483011
Dermatitis (atopc/contact/other/unspecified),M11..00,308485016,Atopic dermatitis,24079001,40423010
Dermatitis (atopc/contact/other/unspecified),M110.11,1787545010,Ammonia dermatitis,91487003,151557016
Dermatitis (atopc/contact/other/unspecified),M111.00,497341000006116,Atopic dermatitis/eczema,24079001,40423010
Dermatitis (atopc/contact/other/unspecified),M112.00,150503015,Infantile eczema,90823000,150503015
Dermatitis (atopc/contact/other/unspecified),M113.00,94953018,Flexural eczema,57092006,94953018
Dermatitis (atopc/contact/other/unspecified),M114.00,477121000006119,Allergic (intrinsic) eczema,24079001,40423010
Dermatitis (atopc/contact/other/unspecified),M115.00,308489010,Besnier's prurigo,200773006,308489010
Dermatitis (atopc/contact/other/unspecified),M116.00,357583018,Neurodermatitis - diffuse,238585003,357583018
Dermatitis (atopc/contact/other/unspecified),M116.11,357584012,Brocq's neurodermatitis,238585003,357584012
Dermatitis (atopc/contact/other/unspecified),M117.00,676461000006118,Atopic neurodermatitis,200775004,308491019
Dermatitis (atopc/contact/other/unspecified),M119.00,622951000006114,Discoid eczema,81418003,3302693013
Dermatitis (atopc/contact/other/unspecified),M11A.00,585903012,Asteatotic eczema,201077008,308910012
Dermatitis (atopc/contact/other/unspecified),M11z.00,308497015,Atopic dermatitis NOS,24079001,40423010
Dermatitis (atopc/contact/other/unspecified),M12..00,399912014,Contact dermatitis and other eczemas,40275004,63652013
Dermatitis (atopc/contact/other/unspecified),M12..11,63652013,Contact dermatitis,40275004,63652013
Dermatitis (atopc/contact/other/unspecified),M12..12,1494721011,Contact eczema,40275004,63652013
Dermatitis (atopc/contact/other/unspecified),M12..13,1781705012,Occupational allergic contact dermatitis,238578002,357570019
Dermatitis (atopc/contact/other/unspecified),M120.00,50967012,Contact dermatitis due to detergents,30451004,50967012
Dermatitis (atopc/contact/other/unspecified),M121.00,399913016,Contact dermatitis due to oils and greases,267793005,399913016
Dermatitis (atopc/contact/other/unspecified),M121.11,357558018,Grease contact dermatitis,238568000,357558018
Dermatitis (atopc/contact/other/unspecified),M121.12,357559014,Oil contact dermatitis,238569008,357559014
Dermatitis (atopc/contact/other/unspecified),M122.00,38664014,Contact dermatitis due to solvents,23012005,38664014
Dermatitis (atopc/contact/other/unspecified),M122000,308509010,Contact dermatitis due to chlorocompound,200784004,308509010
Dermatitis (atopc/contact/other/unspecified),M122100,308510017,Contact dermatitis due to cyclohexane,200785003,308510017
Dermatitis (atopc/contact/other/unspecified),M122300,308512013,Contact dermatitis due to glycol,200787006,308512013
Dermatitis (atopc/contact/other/unspecified),M122400,308513015,Contact dermatitis due to hydrocarbon,200788001,308513015
Dermatitis (atopc/contact/other/unspecified),M122500,308514014,Contact dermatitis due to ketone,200789009,308514014
Dermatitis (atopc/contact/other/unspecified),M122z00,308515010,Contact dermatitis due to solvent NOS,23012005,38664014
Dermatitis (atopc/contact/other/unspecified),M123.00,590701000006112,Contact dermatitis due to drugs AND/OR medicine,86062001,142690019
Dermatitis (atopc/contact/other/unspecified),M123000,67908018,Contact dermatitis due to arnica,40712008,67908018
Dermatitis (atopc/contact/other/unspecified),M123100,590781000006115,Contact dermatitis due to fungicide,17946007,30306019
Dermatitis (atopc/contact/other/unspecified),M123200,137914019,Contact dermatitis due to iodine,83150005,137914019
Dermatitis (atopc/contact/other/unspecified),M123300,308519016,Contact dermatitis due to keratolytics,200794009,308519016
Dermatitis (atopc/contact/other/unspecified),M123400,590931000006119,Contact dermatitis due to mercurial,81581001,135333017
Dermatitis (atopc/contact/other/unspecified),M123500,54060018,Contact dermatitis due to neomycin,32371003,54060018
Dermatitis (atopc/contact/other/unspecified),M123600,591011000006116,Contact dermatitis due to pediculicide,72057009,119732011
Dermatitis (atopc/contact/other/unspecified),M123700,591021000006112,Contact dermatitis due to phenol,111190006,178426013
Dermatitis (atopc/contact/other/unspecified),M123800,591151000006116,Contact dermatitis due to scabicide,26532007,44428014
Dermatitis (atopc/contact/other/unspecified),M123z00,308526016,Contact dermatitis due to medicament NOS,86062001,142690019
Dermatitis (atopc/contact/other/unspecified),M124.00,308527013,Contact dermatitis caused by chemical,291000119100,3043712018
Dermatitis (atopc/contact/other/unspecified),M124000,308528015,Contact dermatitis due to acids,200802008,308528015
Dermatitis (atopc/contact/other/unspecified),M124100,128743013,Contact dermatitis due to adhesive plaster,77560002,128743013
Dermatitis (atopc/contact/other/unspecified),M124111,357560016,Elastoplast contact dermatitis,238570009,357560016
Dermatitis (atopc/contact/other/unspecified),M124200,308532014,Contact dermatitis due to alkalis,200804009,308532014
Dermatitis (atopc/contact/other/unspecified),M124300,308533016,Contact dermatitis due to caustics,200805005,308533016
Dermatitis (atopc/contact/other/unspecified),M124400,71306016,Contact dermatitis due to dichromate,42733007,71306016
Dermatitis (atopc/contact/other/unspecified),M124500,178428014,Contact dermatitis due to insecticide,111192003,178428014
Dermatitis (atopc/contact/other/unspecified),M124600,138508015,Contact dermatitis due to nylon,83508001,138508015
Dermatitis (atopc/contact/other/unspecified),M124700,53389017,Contact dermatitis due to plastic,31948006,53389017
Dermatitis (atopc/contact/other/unspecified),M124800,77108018,Contact dermatitis due to rubber,46240005,77108018
